Admission Date;Cancellation Date;ISIN;Coupon;Name;Maturity Date;Sector;Composite Rating;Issue Amount in CHF;Guarantee Type & Collateral;Comment;Capital increase/decrease;Updated on
01.12.2025;30.11.2044;CH1487332004;1.02;Emissionszentrale für gemeinnützige Wohnbauträger;03.11.2045;DN;AAA;113100000;52010100;Admission;;2025-11-27 14:16:46
01.12.2025;31.12.2038;CH1487332053;0.9;Pfandbriefzentrale der schweizerischen Kantonalbanken AG;15.12.2039;DN;AAA;200000000;61010100;Admission;;2025-11-27 14:16:46
01.12.2025;28.11.2031;CH1487332087;0.8;Banca dello Stato del Cantone Ticino;05.11.2032;DN;AA;110000000;52510100;Admission;;2025-11-27 14:16:46
01.12.2025;30.11.2034;CH1265891056;0.8;Basler Kantonalbank;21.11.2035;DN;AA;150000000;52510100;Admission;;2025-11-27 14:16:46
01.12.2025;30.11.2033;CH1500439638;0.75;St.Galler Kantonalbank AG;14.11.2034;DN;AAA;150000000;52510100;Admission;;2025-11-27 14:16:46
01.12.2025;30.11.2033;CH1498956932;0.75;Schwyzer Kantonalbank;17.11.2034;DN;AA;150000000;52510100;Admission;;2025-11-27 14:16:46
01.12.2025;28.11.2031;CH1487332095;0.95;Liechtensteinische Landesbank AG;12.11.2032;DN;AA;200000000;74010100;Admission;;2025-11-27 14:16:46
01.12.2025;29.05.2026;CH1494626257;0.875;AMAG Leasing AG;20.05.2027;DN;BBB;150000000;74015100;Admission;;2025-11-27 14:16:46
01.12.2025;28.11.2064;CH1487332111;0.96;Kanton Genf;27.11.2065;DN;AA;220000000;52515100;Admission;;2025-11-27 14:16:46
01.12.2025;30.11.2028;CH1498422828;0.565;Cembra Money Bank AG;27.11.2029;DN;AAA;150000000;61520100;Admission;;2025-11-27 14:16:46
01.12.2025;30.11.2049;CH1494626315;1;Pfandbriefbank schweizerischer Hypothekarinstitute AG;17.11.2050;DN;AAA;200000000;61010100;Admission;;2025-11-27 14:16:46
01.12.2025;31.05.2033;CH1494626349;2.2;Clariant AG;29.05.2034;DN;BBB;100000000;71510100;Admission;;2025-11-27 14:16:46
