Admission Date;Cancellation Date;ISIN;Coupon;Name;Maturity Date;Sector;Composite Rating;Issue Amount in CHF;Guarantee Type & Collateral;Comment;Capital increase/decrease;Updated on
01.03.2021;30.07.2021;CH0367204986;0.45;EFIAG - Emissions- und Finanz AG;11.07.2022;DN;BBB;100000000;71100;Admission, Rating Criteria fulfilled;;24.02.2021 13:58
01.03.2021;31.10.2022;CH0422393121;0.875;EFIAG - Emissions- und Finanz AG;18.10.2023;DN;BBB;100000000;71100;Admission, Rating Criteria fulfilled;;24.02.2021 13:58
01.03.2021;28.02.2030;CH0506071361;0.2;PSP Swiss Property AG;04.02.2031;DN;A;200000000;71100;Admission;;24.02.2021 13:58
01.03.2021;28.02.2030;CH0506071353;0;Freiburger Kantonalbank;05.02.2031;DN;AA;240000000;59100;Admission;;24.02.2021 13:58
01.03.2021;26.02.2027;CH0581947816;0.375;Swiss Prime Site Finance AG;11.02.2028;DN;BBB;300000000;71100;Admission;;24.02.2021 13:58
01.03.2021;28.02.2030;CH0593093211;0.125;Kraftwerke Oberhasli AG;21.02.2031;DN;A;100000000;71100;Admission;;24.02.2021 13:58
01.03.2021;29.02.2024;CH0589030979;0.25;Investis Holding SA;14.02.2025;DN;BBB;115000000;71100;Admission;;24.02.2021 13:58
01.03.2021;29.02.2028;CH0589031019;0;Pfandbriefzentrale der schweizerischen Kantonalbanken;05.02.2029;DN;AAA;448000000;62100;Admission;;24.02.2021 13:58
01.03.2021;31.03.2032;CH0589031027;0;Pfandbriefzentrale der schweizerischen Kantonalbanken;18.03.2033;DN;AAA;280000000;62100;Admission;;24.02.2021 13:58
01.03.2021;28.02.2035;CH0589031035;0;Pfandbriefzentrale der schweizerischen Kantonalbanken;15.02.2036;DN;AAA;342000000;62100;Admission;;24.02.2021 13:58
01.03.2021;30.11.2029;CH0593641068;0.15;Bâloise Holding AG;17.02.2031;DN;A;250000000;71100;Admission;;24.02.2021 13:58
01.03.2021;31.08.2027;CH0598928718;0.375;UBS Group AG;24.08.2029;DN;A;360000000;71100;Admission;;24.02.2021 13:58
01.03.2021;31.08.2027;CH0593893917;0.125;Hypo Vorarlberg Bank AG;23.08.2028;FC;A;150000000;71100;Admission;;24.02.2021 13:58
01.03.2021;31.03.2026;CH0593893925;0.068;First Abu Dhabi Bank P.J.S.C;31.03.2027;FC;AA;260000000;71100;Admission;;24.02.2021 13:58
01.03.2021;28.06.2030;CH0127181029;2.25;Schweizerische Eidgenossenschaft;22.06.2031;DG;AAA;2445215000;51100;Capital increase;225650000;24.02.2021 13:58
01.03.2021;30.04.2041;CH0127181169;1.5;Schweizerische Eidgenossenschaft;30.04.2042;DG;AAA;4365965000;51100;Capital increase;570400000;24.02.2021 13:58
01.03.2021;30.12.2021;CH0447353696;1;Panalpina Welttransport (Holding) AG;12.12.2022;DN;A;150000000;71100;Rating change;;24.02.2021 13:58
01.03.2021;30.09.2058;CH0494734392;0;Kanton Genf;23.09.2059;DN;AA;300000000;59100;Capital increase;70000000;24.02.2021 13:58
01.03.2021;30.06.2027;CH0417086086;0.5;Münchener Hypothekenbank;14.06.2028;FC;AAA;380000000;62100;Capital increase;60000000;24.02.2021 13:58
01.03.2021;30.09.2027;CH0561923837;0.25;Münchener Hypothekenbank;18.09.2028;FC;AA;255000000;71100;Capital increase;55000000;24.02.2021 13:58
;26.02.2021;CH0028968201;2.875;Pfandbriefbank schweizerischer Hypothekarinstitute, Zürich;14.02.2022;DN;AAA;535000000;62100;Deletion;;24.02.2021 13:58
;26.02.2021;CH0109559598;2.5;Pfandbriefzentrale der schweizerischen Kantonalbanken;11.02.2022;DN;AAA;150000000;62100;Deletion;;24.02.2021 13:58
;26.02.2021;CH0146843443;1.125;Freiburger Kantonalbank;01.02.2022;DN;AA;200000000;59100;Deletion;;24.02.2021 13:58
;26.02.2021;CH0148295451;1.25;Pfandbriefzentrale der schweizerischen Kantonalbanken;03.02.2022;DN;AAA;643000000;62100;Deletion;;24.02.2021 13:58
;26.02.2021;CH0233226213;1.625;Raiffeisen Schweiz;07.02.2022;DN;A;100000000;71100;Deletion;;24.02.2021 13:58
;26.02.2021;CH0236122724;1.375;SGS AG;25.02.2022;DN;A;250000000;71100;Deletion;;24.02.2021 13:58
;26.02.2021;CH0310451841;0.75;UBS Group AG;22.02.2022;DN;A;300000000;71100;Deletion;;24.02.2021 13:58
;26.02.2021;CH0307256401;0.03;Zürcher Kantonalbank;11.02.2022;DN;AAA;300000000;59100;Deletion;;24.02.2021 13:58
;26.02.2021;CH0343366826;0;Pfandbriefbank schweizerischer  Hypothekarinstitute;14.02.2022;DN;AAA;300000000;62100;Deletion;;24.02.2021 13:58
;26.02.2021;CH0353428045;0;Kanton Aargau;17.02.2022;DN;AA;125000000;59100;Deletion;;24.02.2021 13:58
;26.02.2021;CH0353427989;0.7;Zug Estates Holding AG;17.02.2022;DN;BBB;100000000;71100;Deletion;;24.02.2021 13:58
;26.02.2021;CH0373476537;0.06;PSP Swiss Property AG;11.02.2022;DN;A;100000000;71100;Deletion;;24.02.2021 13:58
;26.02.2021;CH0024015452;2.5;Kommunalkredit Austria AG;14.02.2022;FC;A;178800000;61100;Deletion;;24.02.2021 13:58
;26.02.2021;CH0233911772;1.5;Commonwealth Bank of Australia;07.02.2022;FC;AA;200000000;71100;Deletion;;24.02.2021 13:58
;26.02.2021;CH0255893064;0.5;Westpac Banking Corporation;02.02.2022;FC;AA;200000000;71100;Deletion;;24.02.2021 13:58
;26.02.2021;CH0267020045;0.375;New York Life Funding;02.02.2022;FC;AAA;500000000;65100;Deletion;;24.02.2021 13:58
;26.02.2021;CH0353945402;0.4;Societe Generale;22.02.2022;FC;BBB;160000000;71100;Deletion;;24.02.2021 13:58
;26.02.2021;CH0028608195;2.625;Nederlandse Waterschapsbank N.V.;07.02.2022;FG;AAA;250000000;57100;Deletion;;24.02.2021 13:58
;26.02.2021;CH0148937649;1.25;Kommuninvest i Sverige AB;28.02.2022;FG;AAA;150000000;57100;Deletion;;24.02.2021 13:58
;26.02.2021;CH0229318131;1.875;Central American Bank for Economic Integration CABEI;25.02.2022;FS;AA;180000000;55100;Deletion;;24.02.2021 13:58
;26.02.2021;CH0310451833;0.15;Corporacion Andina de Fomento;24.02.2022;FS;A;150000000;55100;Deletion;;24.02.2021 13:58
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
