Admission Date;Cancellation Date;ISIN;Coupon;Name;Maturity Date;Sector;Composite Rating;Issue Amount in CHF;Guarantee Type & Collateral;Comment;Capital increase/decrease;Updated on
03.09.2018;29.12.2023;CH0398633260;0.05;Glarner Kantonalbank;06.12.2024;DN;AA;100000000;59100;Admission;;2018-08-29 14:00:04
03.09.2018;31.08.2022;CH0423563540;0.2075;Korea Gas Corporation;02.08.2023;FC;AA;200000000;71100;Admission;;2018-08-29 14:00:04
03.09.2018;29.07.2022;CH0426621709;0.15;Canadian Imperial Bank of Commerce;31.07.2023;FC;AA;430000000;71100;Admission, Rating change;;2018-08-29 14:00:04
03.09.2018;31.12.2021;CH0426621717;0.05;Bank of Montreal;30.12.2022;FC;A;450000000;71100;Admission;;2018-08-29 14:00:04
03.09.2018;31.07.2020;CH0255678325;0.375;Pfandbriefbank schweizerischer  Hypothekarinstitute;02.07.2021;DN;AAA;490000000;62100;Capital increase;136000000;2018-08-29 14:00:04
03.09.2018;28.02.2025;CH0310451858;1.25;UBS Group Funding (Switzerland) Inc;23.02.2026;DN;A;150000000;71100;Rating change;;2018-08-29 14:00:04
03.09.2018;26.02.2021;CH0310451841;0.75;UBS Group Funding (Switzerland) Inc;22.02.2022;DN;A;300000000;71100;Rating change;;2018-08-29 14:00:04
03.09.2018;31.05.2022;CH0365501516;0.625;UBS Group Funding (Switzerland) Inc;18.05.2024;DN;A;400000000;71100;Rating change;;2018-08-29 14:00:04
03.09.2018;30.11.2021;CH0370943539;0;Pfandbriefbank schweizerischer Hypothekarinstitute;22.11.2022;DN;AAA;585000000;62100;Capital increase;410000000;2018-08-29 14:00:04
03.09.2018;30.09.2025;CH0384125065;0.25;Pfandbriefbank schweizerischer Hypothekarinstitute;18.09.2026;DN;AAA;307000000;62100;Capital increase;117000000;2018-08-29 14:00:04
03.09.2018;31.07.2019;CH0021803942;2.375;Europäische Investitionsbank, Luxemburg;10.07.2020;FS;AAA;1212500000;55100;Capital decrease;-70000000;2018-08-29 14:00:04
03.09.2018;31.10.2030;CH0026985520;2.875;KommuneKredit;13.10.2031;FG;AA;515000000;57100;Rating change;;2018-08-29 14:00:04
03.09.2018;31.10.2019;CH0124470904;2.125;KommuneKredit;09.10.2020;FG;AA;125000000;57100;Rating change;;2018-08-29 14:00:04
03.09.2018;31.07.2026;CH0285597370;0.625;KommuneKredit;09.07.2027;FG;AA;200000000;57100;Rating change;;2018-08-29 14:00:04
;31.08.2018;CH0149176122;0.875;Pfandbriefbank schweizerischer  Hypothekarinstitute;13.08.2019;DN;AAA;629000000;62100;Deletion;;2018-08-29 14:00:04
;31.08.2018;CH0248890573;0.25;Stadt Zürich;21.08.2019;DN;AA;150000000;59100;Deletion;;2018-08-29 14:00:04
;31.08.2018;CH0133278686;2.25;Compagnie de financement foncier;09.08.2019;FC;AAA;150000000;62100;Deletion;;2018-08-29 14:00:04
;31.08.2018;CH0033023216;3.5;Caisse Française de Financement Local;28.08.2019;FG;AA;200000000;61100;Deletion;;2018-08-29 14:00:04
;31.08.2018;CH0106680777;2.625;Caisse Française de Financement Local;12.08.2019;FG;AA;275000000;61100;Deletion;;2018-08-29 14:00:04
;31.08.2018;CH0109370178;2.25;KommuneKredit;16.08.2019;FG;AAA;150000000;57100;Deletion;;2018-08-29 14:00:04
;31.08.2018;CH0146698425;1.25;European Investment Bank EIB;02.08.2019;FS;AAA;375000000;55100;Deletion;;2018-08-29 14:00:04
