Admission Date;Cancellation Date;ISIN;Coupon;Name;Maturity Date;Sector;Composite Rating;Issue Amount in CHF;Guarantee Type & Collateral;Comment;Capital increase/decrease;Updated on
02.09.2024;31.08.2028;CH1349302906;1.325;Banque Cantonale du Jura SA;07.08.2029;DN;AA;100000000;59100;Admission;;30.08.2024 11:00
02.09.2024;31.10.2025;CH1357852784;1.45;Investis Holding SA;16.10.2026;DN;BBB;100000000;71100;Admission;;30.08.2024 11:00
02.09.2024;31.08.2033;CH1361401842;1.125;Zürcher Kantonalbank;16.08.2034;DN;AAA;250000000;59100;Admission;;30.08.2024 11:00
02.09.2024;31.08.2043;CH1366517105;1.13;Thurgauer Kantonalbank;29.08.2044;DN;AA;200000000;59100;Admission;;30.08.2024 11:00
02.09.2024;31.08.2033;CH1290991327;1.125;Basellandschaftliche Kantonalbank;29.08.2034;DN;AA;200000000;59100;Admission;;30.08.2024 11:00
02.09.2024;31.12.2038;CH1371736765;1.125;Pfandbriefbank schweizerischer Hypothekarinstitute;23.12.2039;DN;AAA;179000000;62100;Admission;;30.08.2024 11:00
02.09.2024;30.04.2048;CH1371736773;1;Pfandbriefbank schweizerischer Hypothekarinstitute;28.04.2049;DN;AAA;231000000;62100;Admission;;30.08.2024 11:00
02.09.2024;30.06.2032;CH1371736757;1;Pfandbriefbank schweizerischer Hypothekarinstitute;07.06.2033;DN;AAA;196000000;62100;Admission;;30.08.2024 11:00
02.09.2024;31.08.2026;CH1357852735;1.49;Q Energy Solutions SE;06.08.2027;FC;AA;200000000;57100;Admission;;30.08.2024 11:00
02.09.2024;31.08.2028;CH1357852818;1.445;Natwest Markets PLC;27.08.2029;FC;A;180000000;71100;Admission;;30.08.2024 11:00
02.09.2024;30.08.2030;CH1357852800;2;Vonovia SE;26.08.2031;FC;BBB;235000000;71100;Admission;;30.08.2024 11:00
02.09.2024;31.08.2029;CH1357852826;1.3075;SpareBank 1 Nord-Norge;28.08.2030;FC;AA;150000000;71100;Admission;;30.08.2024 11:00
02.09.2024;31.12.2025;CH0128891105;2.75;Pfandbriefbank schweizerischer  Hypothekarinstitute;15.12.2026;DN;AAA;1010000000;62100;Capital increase;530000000;30.08.2024 11:00
02.09.2024;31.07.2041;CH1189217842;1.9;Pfandbriefzentrale der schweizerischen Kantonalbanken;07.07.2042;DN;AAA;491000000;62100;Capital increase;224000000;30.08.2024 11:00
02.09.2024;31.12.2029;CH1232107032;1.7;Pfandbriefzentrale der schweizerischen Kantonalbanken;02.12.2030;DN;AAA;762000000;62100;Capital increase;191000000;30.08.2024 11:00
02.09.2024;31.08.2033;CH1346742989;1.45;Pfandbriefzentrale der schweizerischen Kantonalbanken;02.08.2034;DN;AAA;648000000;62100;Capital increase;324000000;30.08.2024 11:00
02.09.2024;31.07.2028;CH1361401735;1.3;IWB Industrielle Werke Basel;13.07.2029;DN;AA;130000000;71100;ICB supersector classification 7500;;30.08.2024 11:00
02.09.2024;29.07.2033;CH1361401743;1.4;IWB Industrielle Werke Basel;13.07.2034;DN;AA;130000000;71100;ICB supersector classification 7500;;30.08.2024 11:00
;30.08.2024;CH0391648018;1.55;Nant de Drance SA;19.08.2025;DN;A;180000000;71100;Deletion, Rating change due to new SBI composite rating methodology;;30.08.2024 11:00
;30.08.2024;CH0572326988;0;Pfandbriefbank schweizerischer Hypothekarinstitute;12.08.2025;DN;AAA;252000000;62100;Deletion;;30.08.2024 11:00
;30.08.2024;CH1199659959;0.75;Pfandbriefbank schweizerischer Hypothekarinstitute;12.08.2025;DN;AAA;240000000;62100;Deletion;;30.08.2024 11:00
;30.08.2024;CH1226543861;1.9;Sika AG;28.11.2025;DN;A;200000000;71100;Deletion;;30.08.2024 11:00
;30.08.2024;CH0022268004;2.5;Kreditanstalt für Wiederaufbau;25.08.2025;FG;AAA;1075000000;57100;Deletion;;30.08.2024 11:00
