Admission Date;Cancellation Date;ISIN;Coupon;Name;Maturity Date;Sector;Composite Rating;Issue Amount in CHF;Guarantee Type & Collateral;Comment;Capital increase/decrease;Updated on
01.11.2024;31.10.2031;CH1373904510;1.6;Kraftwerke Linth-Limmern AG Linthal;15.10.2032;DN;BBB;215000000;71100;Admission;;28.10.2024 13:33
01.11.2024;31.10.2033;CH1380011192;1.5;BKW AG;18.10.2034;DN;A;200000000;71100;Admission;;28.10.2024 13:33
01.11.2024;31.07.2047;CH1353015071;1;Pfandbriefbank Schweizerischer Hypothekarinstitute;08.07.2048;DN;AAA;125000000;62100;Admission;;28.10.2024 13:33
01.11.2024;31.10.2029;CH1373904544;1.15;Chocoladefabriken Lindt & Sprüngli AG;08.10.2030;DN;A;225000000;71100;Admission;;28.10.2024 13:33
01.11.2024;31.10.2033;CH1373904551;1.3;Chocoladefabriken Lindt & Sprüngli AG;06.10.2034;DN;A;200000000;71100;Admission;;28.10.2024 13:33
01.11.2024;31.10.2029;CH1383927428;1;Aargauische Kantonalbank;17.10.2030;DN;AAA;100000000;59100;Admission;;28.10.2024 13:33
01.11.2024;29.10.2027;CH1380910211;1.7725;Sulzer AG;20.10.2028;DN;BBB;250000000;71100;Admission;;28.10.2024 13:33
01.11.2024;31.10.2034;CH1224630199;1.05;City of Bellinzona;10.10.2035;DN;AA;125000000;59100;Admission;;28.10.2024 13:33
01.11.2024;30.10.2054;CH1388731346;0.9;Kanton Tessin;14.10.2055;DN;AA;150000000;59100;Admission;;28.10.2024 13:33
01.11.2024;28.04.2028;CH1349302930;0.975;Crédit Agricole next bank (Suisse) SA;23.04.2029;DN;AAA;100000000;62100;Admission;;28.10.2024 13:33
01.11.2024;31.10.2028;CH1380011259;2.25;Compagnie financière Tradition SA;30.10.2029;DN;BBB;100000000;71100;Admission;;28.10.2024 13:33
01.11.2024;31.10.2033;CH1380910237;1.6;Liechtensteinische Landesbank AG;30.10.2034;DN;AA;200000000;71100;Admission;;28.10.2024 13:33
01.11.2024;29.08.2025;CH1380011283;1.1;Emmi Finanz AG;28.08.2026;DN;A;150000000;71100;Admission;;28.10.2024 13:33
01.11.2024;31.07.2029;CH1380011291;1.35;Emmi Finanz AG;30.10.2030;DN;A;200000000;71100;Admission;;28.10.2024 13:33
01.11.2024;29.07.2033;CH1380011309;1.6;Emmi Finanz AG;30.10.2034;DN;A;275000000;71100;Admission;;28.10.2024 13:33
01.11.2024;31.10.2040;CH1380910278;0.95;Kanton Bern;25.10.2041;DN;AA;200000000;59100;Admission;;28.10.2024 13:33
01.11.2024;30.10.2043;CH1380910310;1.05;Pfandbriefzentrale der schweizerischen Kantonalbanken;31.10.2044;DN;AAA;117000000;62100;Admission;;28.10.2024 13:33
01.11.2024;31.10.2028;CH1353015089;1.35;Viseca Payment Services AG;30.10.2029;DN;A;150000000;71100;Admission;;28.10.2024 13:33
01.11.2024;31.10.2050;CH1353015097;1.06;Stadt St. Gallen;30.10.2051;DN;AA;100000000;59100;Admission;;28.10.2024 13:33
01.11.2024;30.10.2026;CH1384254939;1.7075;CBQ Finance Limited;08.10.2027;FC;A;225000000;71100;Admission;;28.10.2024 13:33
01.11.2024;31.10.2033;CH1356570346;0.74;International Bank for Reconstruction and Development;16.10.2034;FS;AAA;130000000;55100;Admission;;28.10.2024 13:33
01.11.2024;30.09.2030;CH1356570338;1.535;BP Capital Markets p.l.c.;30.09.2031;FC;A;285000000;71100;Admission;;28.10.2024 13:33
01.11.2024;31.10.2031;CH1335850330;0.6925;European Investment Bank EIB;15.10.2032;FS;AAA;150000000;55100;Admission;;28.10.2024 13:33
01.11.2024;31.10.2031;CH1376931544;1.4;BMW International Investment B.V.;08.10.2032;FC;A;200000000;71100;Admission;;28.10.2024 13:33
01.11.2024;29.10.2027;CH1376931536;1.2;BMW International Investment B.V.;09.10.2028;FC;A;300000000;71100;Admission;;28.10.2024 13:33
01.11.2024;29.10.2027;CH1380011242;0.985;Korea Ocean Business Corporation;30.10.2028;FG;AA;100000000;57100;Admission;;28.10.2024 13:33
01.11.2024;31.10.2030;CH1335850348;1.6925;Empresa de Transporte de Pasajeros Metro SA;30.10.2031;FG;A;155000000;57100;Admission;;28.10.2024 13:33
01.11.2024;31.10.2028;CH1380011267;2.0725;FONPLATA;24.10.2029;FS;A;130000000;55100;Admission;;28.10.2024 13:33
01.11.2024;31.10.2028;CH1356570353;2.015;RCI Banque SA;29.10.2029;FC;BBB;120000000;71100;Admission;;28.10.2024 13:33
01.11.2024;31.10.2029;CH1380011275;1.1525;North American Development Bank;30.10.2030;FS;AA;140000000;55100;Admission;;28.10.2024 13:33
01.11.2024;31.07.2028;CH1380011317;1.5975;Fresenius SE & Co. KGaA;24.10.2029;FC;BBB;225000000;71100;Admission;;28.10.2024 13:33
