Admission Date;Cancellation Date;ISIN;Coupon;Name;Maturity Date;Sector;Composite Rating;Issue Amount in CHF;Guarantee Type & Collateral;Comment;Capital increase/decrease;Updated on
01.04.2020;30.09.2027;CH0506071189;0;Glarner Kantonalbank;06.09.2028;DN;AA;100000000;59100;Admission;;30.03.2020 12:15
01.04.2020;30.03.2029;CH0506071221;0;Zürcher Kantonalbank;12.03.2030;DN;AAA;230000000;59100;Admission;;30.03.2020 12:15
01.04.2020;31.03.2027;CH0506071213;0.25;Mobimo Holding AG;23.03.2028;DN;BBB;220000000;71100;Admission;;30.03.2020 12:15
01.04.2020;31.12.2021;CH0525158439;0.125;Syngenta Finance AG;09.12.2022;DN;BBB;200000000;71100;Admission;;30.03.2020 12:15
01.04.2020;31.12.2025;CH0525158447;0.7;Syngenta Finance AG;09.12.2026;DN;BBB;140000000;71100;Admission;;30.03.2020 12:15
01.04.2020;28.02.2029;CH0528881169;0;Pfandbriefbank schweizerischer Hypothekarinstitute;26.02.2030;DN;AAA;560000000;62100;Admission;;30.03.2020 12:15
01.04.2020;29.12.2023;CH0520663664;0.5;Banco Mercantil del Norte S.A, Cayman Islands Branch;06.12.2024;FC;BBB;225000000;71100;Admission;;30.03.2020 12:15
01.04.2020;31.03.2026;CH0506071205;0.15;BNP Paribas;10.03.2028;FC;A;180000000;71100;Admission;;30.03.2020 12:15
01.04.2020;30.09.2025;CH0506071239;0.1;Banco de Crédito e Inversiones;18.09.2026;FC;A;125000000;71100;Admission;;30.03.2020 12:15
01.04.2020;30.06.2023;CH0525158421;0.2031;AMP Group Finance Services Ltd;03.06.2024;FC;BBB;175000000;71100;Admission;;30.03.2020 12:15
01.04.2020;30.03.2029;CH0525158462;0.125;Hypo Vorarlberg Bank AG;27.03.2030;FC;A;125000000;71100;Admission;;30.03.2020 12:15
01.04.2020;31.03.2025;CH0522690715;0.84;Joint Stock Company Russian Railways;12.03.2026;FC;BBB;250000000;71100;Admission;;30.03.2020 12:15
01.04.2020;30.06.2028;CH0224397346;0;Schweizerische Eidgenossenschaft;22.06.2029;DG;AAA;2684598000;51100;Capital increase;171700000;30.03.2020 12:15
01.04.2020;29.12.2023;CH0373476214;0.375;Julius Bär Gruppe AG;06.12.2024;DN;BBB;200000000;71100;Rating change;;30.03.2020 12:15
01.04.2020;30.11.2043;CH0485260902;0.1;Freiburger Kantonalbank;01.11.2044;DN;AA;205000000;59100;Capital increase;65000000;30.03.2020 12:15
01.04.2020;29.09.2028;CH0487087337;0.125;Hypo Vorarlberg Bank AG;03.09.2029;FC;A;230000000;71100;Capital increase;80000000;30.03.2020 12:15
01.04.2020;30.12.2022;CH0494734343;0.45;Banco Mercantil del Norte S.A, Cayman Islands Branch;18.12.2023;FC;BBB;160000000;71100;Rating change;;30.03.2020 12:15
;31.03.2020;CH0024674944;2.5;Basler Kantonalbank;24.03.2021;DN;AA;300000000;59100;Deletion;;30.03.2020 12:15
;31.03.2020;CH0233216016;1.125;Pfandbriefbank schweizerischer  Hypothekarinstitute;03.03.2021;DN;AAA;532000000;62100;Deletion;;30.03.2020 12:15
;31.03.2020;CH0273347820;0.75;Allreal Holding AG;31.03.2021;DN;BBB;120000000;71100;Deletion;;30.03.2020 12:15
;31.03.2020;CH0274740262;0.25;Zürcher Kantonalbank;31.03.2021;DN;AAA;430000000;59100;Deletion;;30.03.2020 12:15
;31.03.2020;CH0336352734;0;Pfandbriefbank schweizerischer  Hypothekarinstitute;26.03.2021;DN;AAA;514000000;62100;Deletion;;30.03.2020 12:15
;31.03.2020;CH0123385772;2.375;Nordea Bank Finland PLC;02.03.2021;FC;AAA;150000000;62100;Deletion;;30.03.2020 12:15
;31.03.2020;CH0125589850;2.75;Nordea Bank Abp;22.03.2021;FC;AA;150000000;71100;Deletion;;30.03.2020 12:15
;31.03.2020;CH0125055696;3.125;ING Bank N.V.;04.03.2021;FC;AA;115000000;71100;Deletion;;30.03.2020 12:15
;31.03.2020;CH0125062262;2.5;CRH-Caisse de Refinancement de l`Habitat;29.03.2021;FC;AAA;525000000;62100;Deletion;;30.03.2020 12:15
;31.03.2020;CH0126516043;2.625;ING Bank N.V.;23.03.2021;FC;AAA;125000000;62100;Deletion;;30.03.2020 12:15
;31.03.2020;CH0316994638;0.6;Santander Consumer Finance, S.A.;23.03.2021;FC;A;100000000;71100;Deletion;;30.03.2020 12:15
;31.03.2020;CH0401956898;0.697;CBQ Finance Limited;22.03.2021;FC;BBB;335000000;71100;Deletion;;30.03.2020 12:15
;31.03.2020;CH0126324737;2.125;Kommuninvest i Sverige AB;31.03.2021;FG;AAA;100000000;57100;Deletion;;30.03.2020 12:15
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
