Admission Date;Cancellation Date;ISIN;Coupon;Name;Maturity Date;Sector;Composite Rating;Issue Amount in CHF;Guarantee Type & Collateral;Comment;Capital increase/decrease;Updated on
03.01.2025;30.12.2033;CH1396329778;0.7;Kanton Solothurn;13.12.2034;DN;AAA;100000000;52515100;Admission;;2024-12-27 15:12:17
03.01.2025;30.12.2025;CH1400950783;0.75;Aargauische Kantonalbank;18.12.2026;DN;AAA;245000000;52510100;Admission;;2024-12-27 15:12:17
03.01.2025;31.12.2027;CH1400333196;0.8125;Freiburger Kantonalbank;05.12.2028;DN;AA;150000000;52510100;Admission;;2024-12-27 15:12:17
03.01.2025;31.10.2034;CH1392903626;0.9;Pfandbriefzentrale der schweizerischen Kantonalbanken;26.10.2035;DN;AAA;199000000;61010100;Admission;;2024-12-27 15:12:17
03.01.2025;31.12.2027;CH1392903592;1.625;AMAG Leasing AG;18.12.2028;DN;BBB;100000000;74015100;Admission;;2024-12-27 15:12:17
03.01.2025;29.12.2028;CH1265890892;0.55;Kanton Basel-Stadt;13.12.2029;DN;AAA;197000000;52515100;Admission;;2024-12-27 15:12:17
03.01.2025;31.12.2026;CH1396329802;1.25;Georg Fischer AG;10.12.2027;DN;BBB;300000000;72010100;Admission;;2024-12-27 15:12:17
03.01.2025;31.12.2030;CH1396329810;1.55;Georg Fischer AG;11.12.2031;DN;BBB;350000000;72010100;Admission;;2024-12-27 15:12:17
03.01.2025;29.12.2028;CH1397846812;0.85;Schaffhauser Kantonalbank;10.12.2029;DN;AAA;200000000;52510100;Admission;;2024-12-27 15:12:17
03.01.2025;30.12.2033;CH1399569610;1.135;Berner Kantonalbank AG;04.12.2034;DN;A;160000000;74010100;Admission;;2024-12-27 15:12:17
03.01.2025;30.11.2028;CH1381197016;0.625;Pfandbriefbank schweizerischer Hypothekarinstitute;28.11.2029;DN;AAA;300000000;61010100;Admission;;2024-12-27 15:12:17
03.01.2025;29.12.2028;CH1397846838;0.7;Banque Cantonale Neuchateloise;20.12.2029;DN;AA;135000000;52510100;Admission;;2024-12-27 15:12:17
03.01.2025;30.11.2028;CH1392903667;1.25;Bossard Finance AG;19.11.2029;DN;BBB;200000000;72010100;Admission;;2024-12-27 15:12:17
03.01.2025;31.12.2032;CH1396329836;0.8;Province of Newfoundland and Labrador;19.12.2033;FG;A;100000000;52515100;Admission;;2024-12-27 15:12:17
