Admission Date;Cancellation Date;ISIN;Coupon;Name;Maturity Date;Sector;Composite Rating;Issue Amount in CHF;Guarantee Type & Collateral;Comment;Capital increase/decrease;Updated on
01.02.2021;30.01.2032;CH0589030946;0;Zürcher Kantonalbank;21.01.2033;DN;AAA;400000000;59100;Admission;;29.01.2021 15:13
01.02.2021;31.05.2040;CH0591979619;0;Pfandbriefbank schweizerischer Hypothekarinstitute;20.05.2041;DN;AAA;250000000;62100;Admission;;29.01.2021 15:13
01.02.2021;30.01.2032;CH0592087230;0.01;Basellandschaftliche Kantonalbank;28.01.2033;DN;AA;150000000;59100;Admission;;29.01.2021 15:13
01.02.2021;31.01.2029;CH0591084253;0.57;Raiffeisen Schweiz;15.01.2031;DN;A;175000000;71100;Admission;;29.01.2021 15:13
01.02.2021;31.01.2025;CH0591084139;0.1775;Raiffeisen Schweiz;15.01.2027;DN;A;125000000;71100;Admission;;29.01.2021 15:13
01.02.2021;31.10.2022;CH0506071379;0.25;AMAG Leasing AG;27.10.2023;DN;BBB;230000000;71100;Admission;;29.01.2021 15:13
01.02.2021;31.01.2025;CH0506071387;0;Valiant Bank;20.01.2026;DN;AAA;270000000;62100;Admission;;29.01.2021 15:13
01.02.2021;30.01.2026;CH0591979650;0;Credit Suisse (Switzerland) Ltd.;27.01.2027;DN;AAA;100000000;62100;Admission;;29.01.2021 15:13
01.02.2021;30.01.2032;CH0591979668;0;Credit Suisse (Switzerland) Ltd.;27.01.2033;DN;AAA;150000000;62100;Admission;;29.01.2021 15:13
01.02.2021;30.01.2026;CH0581947790;0.5;Athene Global Funding;15.01.2027;FC;A;200000000;65100;Admission;;29.01.2021 15:13
01.02.2021;31.01.2035;CH0581947808;0.1;Deutsche Bahn Finance GmbH, Berlin;28.01.2036;FC;AA;400000000;71100;Admission;;29.01.2021 15:13
01.02.2021;30.06.2027;CH0591979643;0;Caisse des Depots et Consignations;26.06.2028;FG;AA;100000000;57100;Admission;;29.01.2021 15:13
01.02.2021;31.07.2026;CH0593641027;0.375;Societe Generale;26.07.2028;FC;BBB;140000000;71100;Admission;;29.01.2021 15:13
01.02.2021;30.06.2044;CH0344958498;0.5;Schweizerische Eidgenossenschaft;28.06.2045;DG;AAA;1636575000;51100;Capital increase;175850000;29.01.2021 15:13
01.02.2021;30.10.2026;CH0373945093;0.25;Pfandbriefbank schweizerischer Hypothekarinstitute;12.10.2027;DN;AAA;873000000;62100;Capital increase;250000000;29.01.2021 15:13
01.02.2021;30.06.2031;CH0344958688;0.5;Schweizerische Eidgenossenschaft;27.06.2032;DG;AAA;1501950000;51100;Capital increase;237250000;29.01.2021 15:13
01.02.2021;31.01.2028;CH0423233524;0.5;Pfandbriefbank schweizerischer Hypothekarinstitute;22.01.2029;DN;AAA;780000000;62100;Capital increase;250000000;29.01.2021 15:13
01.02.2021;28.11.2031;CH0575017089;0.125;Pfandbriefbank schweizerischer Hypothekarinstitute;19.11.2032;DN;AAA;750000000;62100;Capital increase;250000000;29.01.2021 15:13
;29.01.2021;CH0107991892;2.5;Luzerner Kantonalbank AG;07.01.2022;DN;AA;200000000;59100;Deletion;;29.01.2021 15:13
;29.01.2021;CH0146652158;1.25;Zürcher Kantonalbank;31.01.2022;DN;AAA;300000000;59100;Deletion;;29.01.2021 15:13
;29.01.2021;CH0238841891;1;Pfandbriefbank schweizerischer  Hypothekarinstitute;14.01.2022;DN;AAA;690000000;62100;Deletion;;29.01.2021 15:13
;29.01.2021;CH0310175507;0;Kanton Basel-Stadt;28.01.2022;DN;AAA;275000000;59100;Deletion;;29.01.2021 15:13
;29.01.2021;CH0146839870;3;VINCI SA;24.01.2022;FC;A;100000000;71100;Deletion;;29.01.2021 15:13
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
