Admission Date;Cancellation Date;ISIN;Coupon;Name;Maturity Date;Sector;Composite Rating;Issue Amount in CHF;Guarantee Type & Collateral;Comment;Capital increase/decrease;Updated on
02.06.2020;31.05.2022;CH0538763522;0.75;Coop-Gruppe Genossenschaft;05.05.2023;DN;BBB;320000000;71100;Admission;;27.05.2020 15:02
02.06.2020;28.11.2025;CH0536892588;0.95;SGS AG;06.11.2026;DN;A;325000000;71100;Admission;;27.05.2020 15:02
02.06.2020;30.11.2022;CH0536892570;0.45;SGS AG;06.11.2023;DN;A;175000000;71100;Admission;;27.05.2020 15:02
02.06.2020;31.05.2023;CH0536892612;0.7;Flughafen Zürich AG;22.05.2024;DN;AA;300000000;71100;Admission;;27.05.2020 15:02
02.06.2020;30.11.2022;CH0536892620;1;Firmenich International SA;19.12.2023;DN;BBB;475000000;71100;Admission;;27.05.2020 15:02
02.06.2020;30.06.2027;CH0539032927;0.125;Pfandbriefbank schweizerischer Hypothekarinstitute;07.06.2028;DN;AAA;500000000;62100;Admission;;27.05.2020 15:02
02.06.2020;31.05.2022;CH0539032943;1.05;Aeroport International de Geneve;26.05.2023;DN;A;300000000;71100;Admission;;27.05.2020 15:02
02.06.2020;31.05.2029;CH0543827171;0.15;Kanton Jura;22.05.2030;DN;A;100000000;59100;Admission;;27.05.2020 15:02
02.06.2020;31.05.2029;CH0506071262;0.3;Berner Kantonalbank AG;29.05.2030;DN;A;125000000;71100;Admission;;27.05.2020 15:02
02.06.2020;29.11.2024;CH0539032950;0.875;Adecco Group AG;27.11.2025;DN;BBB;225000000;71100;Admission;;27.05.2020 15:02
02.06.2020;30.04.2031;CH0536892703;0.125;Pfandbriefzentrale der schweizerischen Kantonalbanken;23.04.2032;DN;AAA;409000000;62100;Admission;;27.05.2020 15:02
02.06.2020;31.05.2041;CH0536892711;0.2;Pfandbriefzentrale der schweizerischen Kantonalbanken;22.05.2042;DN;AAA;271000000;62100;Admission;;27.05.2020 15:02
02.06.2020;31.05.2024;CH0540633044;0.445;The Korea Development Bank;08.05.2025;FG;AA;300000000;57100;Admission;;27.05.2020 15:02
02.06.2020;31.05.2021;CH0543827197;0.17;UBS AG, London Branch;13.05.2022;FC;AA;340000000;71100;Admission;;27.05.2020 15:02
02.06.2020;31.05.2024;CH0545766518;0.75;Wells Fargo & Co.;27.05.2025;FC;A;100000000;71100;Admission;;27.05.2020 15:02
02.06.2020;31.05.2027;CH0545766526;1.125;Wells Fargo & Co.;26.05.2028;FC;A;100000000;71100;Admission;;27.05.2020 15:02
02.06.2020;30.06.2021;CH0228531452;2;LafargeHolcim Ltd.;09.06.2022;DN;BBB;221995000;71100;Capital decrease;-28005000;27.05.2020 15:02
02.06.2020;31.12.2024;CH0241926317;1.5;Pfandbriefbank schweizerischer  Hypothekarinstitute;15.12.2025;DN;AAA;636000000;62100;Capital increase;300000000;27.05.2020 15:02
02.06.2020;30.06.2028;CH0224397346;0;Schweizerische Eidgenossenschaft;22.06.2029;DG;AAA;3074398000;51100;Capital increase;389800000;27.05.2020 15:02
02.06.2020;31.10.2028;CH0357676177;0.5;Pfandbriefzentrale der schweizerischen Kantonalbanken;12.10.2029;DN;AAA;1000000000;62100;Capital increase;680000000;27.05.2020 15:02
02.06.2020;29.06.2040;CH0482172399;0.5;Pfandbriefbank schweizerischer Hypothekarinstitute;17.06.2041;DN;AAA;486000000;62100;Capital increase;300000000;27.05.2020 15:02
02.06.2020;30.07.2038;CH0440081401;0;Schweizerische Eidgenossenschaft;24.07.2039;DG;AAA;924410000;51100;Capital increase;209810000;27.05.2020 15:02
02.06.2020;30.06.2020;CH0128250583;3.375;Holcim Overseas Finance Ltd.;10.06.2021;FC;BBB;402935000;71100;Capital decrease;-22065000;27.05.2020 15:02
02.06.2020;31.07.2020;CH0131910256;3;Nykredit Bank A/S;07.07.2021;FC;A;100000000;71100;Rating change;;27.05.2020 15:02
02.06.2020;31.12.2027;CH0305558030;1.125;DH Switzerland Finance S.à.r.l.;08.12.2028;FC;BBB;210000000;71100;Rating change;;27.05.2020 15:02
02.06.2020;30.12.2022;CH0305557644;0.5;DH Switzerland Finance S.à.r.l.;08.12.2023;FC;BBB;540000000;71100;Rating change;;27.05.2020 15:02
02.06.2020;30.12.2020;CH0418609589;0.875;Banco Mercantil del Norte, S.A.;14.12.2021;FC;BBB;100000000;71100;Rating change;;27.05.2020 15:02
02.06.2020;29.02.2024;CH0519933219;0.8;Deutsche Bank AG;07.02.2025;FC;BBB;190000000;71100;Capital decrease;-10000000;27.05.2020 15:02
;29.05.2020;CH0129410988;2.375;Zuger Kantonalbank AG;25.05.2021;DN;AAA;250000000;59100;Deletion;;27.05.2020 15:02
;29.05.2020;CH0130036566;3;SGS AG;27.05.2021;DN;A;275000000;71100;Deletion;;27.05.2020 15:02
