Admission Date;Cancellation Date;ISIN;Coupon;Name;Maturity Date;Sector;Composite Rating;Issue Amount in CHF;Guarantee Type & Collateral;Comment;Capital increase/decrease;Updated on
04.05.2020;26.02.2027;CH0528881201;0.25;Kanton Genf;15.02.2028;DN;AA;300000000;59100;Admission;;29.04.2020 11:22
04.05.2020;30.04.2027;CH0485261520;0.125;Stadt Zürich;20.04.2028;DN;AA;250000000;59100;Admission;;29.04.2020 11:22
04.05.2020;30.04.2021;CH0485261561;0.55;Sonova Holding AG;06.04.2022;DN;A;330000000;71100;Admission;;29.04.2020 11:22
04.05.2020;28.02.2029;CH0485261579;0.375;Kanton Genf;27.02.2030;DN;AA;160000000;59100;Admission;;29.04.2020 11:22
04.05.2020;31.10.2022;CH0536893602;1;Straumann Holding AG;03.10.2023;DN;BBB;280000000;71100;Admission;;29.04.2020 11:22
04.05.2020;29.04.2039;CH0537261841;0.56;Stadt St. Gallen;23.04.2040;DN;AA;100000000;59100;Admission;;29.04.2020 11:22
04.05.2020;30.06.2039;CH0537261932;0.5;Pfandbriefbank schweizerischer Hypothekarinstitute;22.06.2040;DN;AAA;264000000;62100;Admission;;29.04.2020 11:22
04.05.2020;31.08.2026;CH0537261924;0.125;Pfandbriefbank schweizerischer Hypothekarinstitute;13.08.2027;DN;AAA;501000000;62100;Admission;;29.04.2020 11:22
04.05.2020;29.04.2039;CH0485261603;0.35;Emissionszentrale für gemeinnützige Wohnbauträger;27.04.2040;DN;AAA;137500000;57100;Admission;;29.04.2020 11:22
04.05.2020;30.04.2021;CH0536893628;1.05;LafargeHolcim Helvetia Finance Ltd;11.04.2022;DN;BBB;250000000;71100;Admission;;29.04.2020 11:22
04.05.2020;29.04.2022;CH0539032877;1;Lonza Swiss Finanz AG;28.04.2023;DN;BBB;300000000;71100;Admission;;29.04.2020 11:22
04.05.2020;30.04.2026;CH0538763548;0.125;Eurofima Europ. Ges. für die Fin. v. Eisenbahnmaterial;28.04.2027;DN;AA;200000000;55100;Admission;;29.04.2020 11:22
