Admission Date;Cancellation Date;ISIN;Coupon;Name;Maturity Date;Sector;Composite Rating;Issue Amount in CHF;Guarantee Type & Collateral;Comment;Capital increase/decrease;Updated on
01.09.2025;31.08.2034;CH1462229902;0.9525;Stadt Lugano;08.08.2035;DN;AA;100000000;53015100;Admission;;27.08.2025 11:20
01.09.2025;29.10.2032;CH1462230041;0.75;Pfandbriefbank schweizerischer Hypothekarinstitute AG;14.10.2033;DN;AAA;325000000;61010100;Admission;;27.08.2025 11:20
01.09.2025;29.08.2036;CH1475615238;1.05;Thurgauer Kantonalbank;28.08.2037;DN;AA;175000000;52510100;Admission;;27.08.2025 11:20
01.09.2025;31.08.2034;CH1471403746;0.95;Zürcher Kantonalbank;14.08.2035;DN;AAA;165000000;52510100;Admission;;27.08.2025 11:20
01.09.2025;30.11.2028;CH1471403738;0.5;Zürcher Kantonalbank;14.11.2029;DN;AAA;100000000;52510100;Admission;;27.08.2025 11:20
01.09.2025;31.08.2034;CH1474856981;0.935;UBS Switzerland AG;13.08.2035;DN;AAA;275000000;61515100;Admission;;27.08.2025 11:20
01.09.2025;31.08.2029;CH1474856973;0.56;UBS Switzerland AG;13.08.2030;DN;AAA;235000000;61515100;Admission;;27.08.2025 11:20
01.09.2025;30.05.2036;CH1471403779;1.2;Swisscom AG;25.08.2037;DN;A;200000000;75010100;Admission;;27.08.2025 11:20
01.09.2025;31.05.2032;CH1471403761;0.85;Swisscom AG;25.08.2033;DN;A;150000000;75010100;Admission;;27.08.2025 11:20
01.09.2025;31.08.2027;CH1428648328;0.1;Kanton Basel-Stadt;25.08.2028;DN;AAA;150000000;52515100;Admission;;27.08.2025 11:20
01.09.2025;31.08.2028;CH1428648336;0.2;Kanton Basel-Stadt;24.08.2029;DN;AAA;150000000;52515100;Admission;;27.08.2025 11:20
01.09.2025;29.08.2031;CH1471403787;1.1;Mobimo Holding AG;27.08.2032;DN;BBB;175000000;76015100;Admission;;27.08.2025 11:20
01.09.2025;31.05.2029;CH1474857013;0.4625;Roche Kapitalmarkt AG;27.05.2030;DN;AA;335000000;73515100;Admission;;27.08.2025 11:20
01.09.2025;31.08.2034;CH1474857021;0.8775;Roche Kapitalmarkt AG;27.08.2035;DN;AA;255000000;73515100;Admission;;27.08.2025 11:20
01.09.2025;31.08.2039;CH1474857039;1.13;Roche Kapitalmarkt AG;27.08.2040;DN;AA;185000000;73515100;Admission;;27.08.2025 11:20
01.09.2025;31.08.2034;CH1468803452;0.76;International Finance Corporation, Washington, D.C.;07.08.2035;FS;AAA;115000000;51515100;Admission;;27.08.2025 11:20
01.09.2025;30.05.2031;CH1455990122;0.7;Münchener Hypothekenbank eG;04.05.2032;FC;AAA;100000000;61010100;Admission;;27.08.2025 11:20
01.09.2025;31.08.2032;CH1423948533;0.595;Landwirtschaftliche Rentenbank;26.08.2033;FG;AAA;100000000;52010100;Admission;;27.08.2025 11:20
01.09.2025;31.08.2034;CH1474857005;0.8225;Province of Saskatchewan;20.08.2035;FG;AA;200000000;52515100;Admission;;27.08.2025 11:20
01.09.2025;31.08.2029;CH1450810192;1.355;BNP Paribas;27.08.2035;FC;BBB;300000000;74010200;Admission;;27.08.2025 11:20
01.09.2025;28.09.2029;CH1174335781;1;Pfandbriefbank schweizerischer Hypothekarinstitute;06.09.2030;DN;AAA;805000000;61010100;Capital increase;325000000;27.08.2025 11:20
01.09.2025;30.04.2048;CH1371736773;1;Pfandbriefbank schweizerischer Hypothekarinstitute;28.04.2049;DN;AAA;431000000;61010100;Capital increase;200000000;27.08.2025 11:20
01.09.2025;28.02.2034;CH1411424570;0.5975;Asian Development Bank;06.02.2035;FS;AAA;175000000;51515100;Capital increase;50000000;27.08.2025 11:20
01.09.2025;31.01.2039;CH1400064551;0.9175;BNG Bank N.V.;24.01.2040;FG;AAA;235000000;52015100;Capital increase;65000000;27.08.2025 11:20
01.09.2025;28.02.2034;CH1418473448;0.6825;Republic of Austria;26.02.2035;FG;AA;575000000;51010100;Capital increase;225000000;27.08.2025 11:20
01.09.2025;30.06.2039;CH1454185799;0.97;Treasury Corporation of Victoria;19.06.2040;FG;AA;325000000;52515100;Capital increase;175000000;27.08.2025 11:20
01.09.2025;31.07.2031;CH1423948525;0.425;International Development Association;15.07.2032;FS;AAA;300000000;51515100;Capital increase;45000000;27.08.2025 11:20
01.09.2025;31.07.2034;CH1450810184;1.0175;Province of Ontario;30.07.2035;FG;AA;390000000;52515100;Change from FC to FG;;27.08.2025 11:20
;29.08.2025;CH0310175564;0.25;Pfandbriefbank schweizerischer Hypothekarinstitute;05.08.2026;DN;AAA;930000000;61010100;Deletion;;27.08.2025 11:20
;29.08.2025;CH1380011283;1.1;Emmi Finanz AG;28.08.2026;DN;A;150000000;73015100;Deletion;;27.08.2025 11:20
;29.08.2025;CH1142754337;0.125;Six Group AG;27.11.2026;DN;A;150000000;74015100;Deletion;;27.08.2025 11:20
;29.08.2025;CH0522690707;0.125;Banco Bilbao Vizcaya Argentaria, Spain;27.08.2026;FC;BBB;160000000;74010100;Deletion;;27.08.2025 11:20
;29.08.2025;CH1202242249;0.9675;Landesbank Baden-Württemberg;04.08.2026;FC;AAA;200000000;61515100;Deletion;;27.08.2025 11:20
;29.08.2025;CH1206367604;2.1;Würth Finance  International B.V.;16.11.2026;FC;A;300000000;72010100;Deletion;;27.08.2025 11:20
;29.08.2025;CH1266847230;1.6;Municipality Finance PLC;04.08.2026;FG;AA;100000000;52015100;Deletion;;27.08.2025 11:20
