Admission Date;Cancellation Date;ISIN;Coupon;Name;Maturity Date;Sector;Composite Rating;Issue Amount in CHF;Guarantee Type & Collateral;Comment;Capital increase/decrease;Updated on
03.01.2019;31.03.2022;CH0446595644;0;Kanton Zürich;14.03.2023;DN;AAA;250000000;59100;Admission;;20.12.2018 12:21
03.01.2019;31.12.2027;CH0446595685;0.4;BLS AG;12.12.2028;DN;AAA;100000000;57100;Admission;;20.12.2018 12:21
03.01.2019;31.12.2038;CH0446595693;0.95;BLS AG;12.12.2039;DN;AAA;100000000;57100;Admission;;20.12.2018 12:21
03.01.2019;28.11.2025;CH0449619052;0.25;Pfandbriefbank schweizerischer Hypothekarinstitute;16.11.2026;DN;AAA;600000000;62100;Admission;;20.12.2018 12:21
03.01.2019;31.12.2041;CH0451141417;0.95;Stadt Zürich;19.12.2042;DN;AA;100000000;59100;Admission;;20.12.2018 12:21
03.01.2019;29.12.2023;CH0441186522;0.6925;Banco Del Estado De Chile;04.12.2024;FC;A;125000000;71100;Admission;;20.12.2018 12:21
03.01.2019;29.03.2024;CH0264227015;0.625;Pfandbriefbank schweizerischer  Hypothekarinstitute;19.03.2025;DN;AAA;971000000;62100;Capital increase;313000000;20.12.2018 12:21
03.01.2019;31.03.2023;CH0278667107;0.125;Pfandbriefzentrale der schweizerischen Kantonalbanken;12.03.2024;DN;AAA;938000000;62100;Capital increase;297000000;20.12.2018 12:21
03.01.2019;29.01.2044;CH0282528907;1;Pfandbriefbank schweizerischer  Hypothekarinstitute;25.01.2045;DN;AAA;480000000;62100;Capital increase;100000000;20.12.2018 12:21
03.01.2019;31.03.2033;CH0312512715;0.5;Pfandbriefzentrale der schweizerischen Kantonalbanken;30.03.2034;DN;AAA;708000000;62100;Capital increase;93000000;20.12.2018 12:21
03.01.2019;30.06.2028;CH0224397346;0;Schweizerische Eidgenossenschaft;22.06.2029;DG;AAA;2280258000;51100;Capital increase;135488000;20.12.2018 12:21
03.01.2019;30.07.2027;CH0373476073;0.375;Pfandbriefzentrale der schweizerischen Kantonalbanken;24.07.2028;DN;AAA;671000000;62100;Capital increase;297000000;20.12.2018 12:21
03.01.2019;31.01.2028;CH0423233524;0.5;Pfandbriefbank schweizerischer Hypothekarinstitute;22.01.2029;DN;AAA;400000000;62100;Capital increase;206000000;20.12.2018 12:21
03.01.2019;31.12.2024;CH0305398254;0.125;Canadian Imperial Bank of  Commerce;22.12.2025;FC;AAA;350000000;62100;Capital increase;150000000;20.12.2018 12:21
03.01.2019;31.01.2028;CH0347556877;0.25;Province of New Brunswick;19.01.2029;FG;A;300000000;59100;Capital increase;100000000;20.12.2018 12:21
03.01.2019;31.03.2021;CH0358181219;0.75;Deutsche Bank AG;21.03.2022;FC;BBB;250000000;71100;Capital decrease;-50000000;20.12.2018 12:21
03.01.2019;30.04.2025;CH0406415304;0.2;Lansforsakringar Hypotek AB;17.04.2026;FC;AAA;200000000;62100;Capital increase;75000000;20.12.2018 12:21
03.01.2019;29.11.2024;CH0441186514;0.2;The Bank of Nova Scotia;19.11.2025;FC;AAA;475000000;62100;Capital increase;225000000;20.12.2018 12:21
;31.12.2018;CH0023438010;2.5;Pfandbriefbank schweizerischer Hypothekarinstitute, Zürich;13.12.2019;DN;AAA;1046000000;62100;Deletion;;20.12.2018 12:21
;31.12.2018;CH0107685445;2.5;Basellandschaftliche Kantonalbank;16.12.2019;DN;AA;300000000;59100;Deletion;;20.12.2018 12:21
;31.12.2018;CH0120057804;1.75;Zuger Kantonalbank AG;03.12.2019;DN;AAA;200000000;59100;Deletion;;20.12.2018 12:21
;31.12.2018;CH0142132023;2;St.Galler Kantonalbank AG;16.12.2019;DN;BBB;100000000;71200;Deletion;;20.12.2018 12:21
;31.12.2018;CH0257042165;1;Swiss Prime Site AG;10.12.2019;DN;BBB;200000000;71100;Deletion;;20.12.2018 12:21
;31.12.2018;CH0357483210;0.14;First Swiss Mobility Ltd;16.12.2019;DN;AAA;260700000;64100;Deletion;;20.12.2018 12:21
;31.12.2018;CH0019903365;3.125;General Electric Company, Stamford;06.12.2019;FC;BBB;600000000;71100;Deletion;;20.12.2018 12:21
;31.12.2018;CH0215076339;1.5;ABN AMRO Bank N.V.;27.12.2019;FC;A;100000000;71100;Deletion;;20.12.2018 12:21
;31.12.2018;CH0222359421;1.25;Svenska Handelsbanken AB, Stockholm;20.12.2019;FC;AA;400000000;71100;Deletion;;20.12.2018 12:21
;31.12.2018;CH0225710588;2.125;Glencore Finance (Europe) Limited;23.12.2019;FC;BBB;175000000;71100;Deletion;;20.12.2018 12:21
;31.12.2018;CH0225173290;1.5;Korea Railroad Corp;02.12.2019;FC;AA;315000000;71100;Deletion;;20.12.2018 12:21
;31.12.2018;CH0228207574;1.5;Banco de Chile;03.12.2019;FC;A;175000000;71100;Deletion;;20.12.2018 12:21
;31.12.2018;CH0234487392;3;Bharat Petroleum Corp Ltd;20.12.2019;FC;BBB;200000000;71100;Deletion;;20.12.2018 12:21
;31.12.2018;CH0243069355;0.75;Philip Morris International Inc;16.12.2019;FC;A;275000000;71100;Deletion;;20.12.2018 12:21
;31.12.2018;CH0254281634;1;Industrial And Commercial Bank of China Ltd;17.12.2019;FC;A;150000000;71100;Deletion;;20.12.2018 12:21
;31.12.2018;CH0260769382;0.5;AT&T Inc.;04.12.2019;FC;BBB;450000000;71100;Deletion;;20.12.2018 12:21
;31.12.2018;CH0107212968;2.5;Province of Ontario;04.12.2019;FG;A;275000000;59100;Deletion;;20.12.2018 12:21
;31.12.2018;CH0109141371;2.25;Municipality Finance Ltd.;10.12.2019;FG;AA;275000000;57100;Deletion;;20.12.2018 12:21
;31.12.2018;CH0228518533;1.5;Central American Bank for Economic Integration CABEI;16.12.2019;FS;A;145000000;55100;Deletion;;20.12.2018 12:21
;31.12.2018;CH0281864493;1.625;Black Sea Trade & Development Bank;20.12.2019;FS;A;100000000;55100;Deletion;;20.12.2018 12:21
;31.12.2018;CH0330049856;0.85;Africa Finance Corporation;27.12.2019;FS;A;100000000;55100;Deletion;;20.12.2018 12:21
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
