Admission Date;Cancellation Date;ISIN;Coupon;Name;Maturity Date;Sector;Composite Rating;Issue Amount in CHF;Guarantee Type & Collateral;Comment;Capital increase/decrease;Updated on
01.11.2019;31.10.2022;CH0419041519;0.05;Investis Holding SA;09.10.2023;DN;BBB;140000000;71100;Admission;;30.10.2019 15:30
01.11.2019;31.10.2024;CH0494734426;0.1;Zug Estates Holding AG;02.10.2025;DN;BBB;100000000;71100;Admission;;30.10.2019 15:30
01.11.2019;31.10.2028;CH0485260837;0;Glarner Kantonalbank;16.10.2029;DN;AA;100000000;59100;Admission;;30.10.2019 15:30
01.11.2019;30.10.2043;CH0419041576;0.15;Luzerner Kantonalbank AG;07.10.2044;DN;AA;150000000;59100;Admission;;30.10.2019 15:30
01.11.2019;31.10.2022;CH0498400586;0.1;FCA Capital Suisse SA;23.10.2023;DN;BBB;125000000;71100;Admission;;30.10.2019 15:30
01.11.2019;31.10.2033;CH0419041600;0.4;Sonova Holding AG;11.10.2034;DN;A;100000000;71100;Admission;;30.10.2019 15:30
01.11.2019;31.10.2028;CH0419041592;0;Sonova Holding AG;11.10.2029;DN;A;100000000;71100;Admission;;30.10.2019 15:30
01.11.2019;31.10.2040;CH0419041584;0.1;St.Galler Kantonalbank AG;10.10.2041;DN;AA;240000000;59100;Admission;;30.10.2019 15:30
01.11.2019;31.03.2025;CH0502393355;0;Pfandbriefbank schweizerischer Hypothekarinstitute;30.03.2026;DN;AAA;100000000;62100;Admission;;30.10.2019 15:30
01.11.2019;31.08.2022;CH0502393348;0;Pfandbriefbank schweizerischer Hypothekarinstitute;16.08.2023;DN;AAA;185000000;62100;Admission;;30.10.2019 15:30
01.11.2019;31.10.2025;CH0419041659;0.1525;Cembra Money Bank AG;14.10.2026;DN;A;200000000;71100;Admission;;30.10.2019 15:30
01.11.2019;30.10.2048;CH0498589032;0.1;Kanton Neuenburg;29.10.2049;DN;A;125000000;59100;Admission;;30.10.2019 15:30
01.11.2019;30.10.2026;CH0419041535;0.01;Banco Del Estado De Chile;04.10.2027;FC;A;100000000;71100;Admission;;30.10.2019 15:30
01.11.2019;31.10.2025;CH0498400578;0.05;Canadian Imperial Bank of  Commerce;15.10.2026;FC;A;350000000;71100;Admission;;30.10.2019 15:30
01.11.2019;31.10.2023;CH0419041568;0;Korea National Oil Corp;04.10.2024;FC;AA;300000000;71100;Admission;;30.10.2019 15:30
01.11.2019;31.10.2025;CH0498400602;0.25;Societe Generale;08.10.2026;FC;BBB;125000000;71100;Admission;;30.10.2019 15:30
01.11.2019;31.10.2028;CH0503144393;0.25;Banque Fédérative du Crédit Mutuel;24.10.2029;FC;A;100000000;71100;Admission;;30.10.2019 15:30
01.11.2019;31.10.2028;CH0498589024;0.25;Credit Agricole S.A., London Branch;10.10.2029;FC;A;150000000;71100;Admission;;30.10.2019 15:30
01.11.2019;30.04.2027;CH0419041634;1.195;Joint Stock Company Russian Railways;03.04.2028;FC;BBB;150000000;71100;Admission;;30.10.2019 15:30
