Admission Date;Cancellation Date;ISIN;Coupon;Name;Maturity Date;Sector;Composite Rating;Issue Amount in CHF;Guarantee Type & Collateral;Comment;Capital increase/decrease;Updated on
01.12.2023;30.11.2028;CH1290222491;2.625;Zürcher Kantonalbank;01.11.2030;DN;AA;150000000;71100;Admission;;22.11.2023 10:44
01.12.2023;31.03.2042;CH1300277808;1.75;Pfandbriefbank schweizerischer Hypothekarinstitute;24.03.2043;DN;AAA;200000000;62100;Admission;;22.11.2023 10:44
01.12.2023;28.11.2025;CH1300277816;1.7425;Hilti AG;10.11.2026;DN;A;100000000;71100;Admission;;22.11.2023 10:44
01.12.2023;29.11.2030;CH1300277824;1.9225;Hilti AG;10.11.2031;DN;A;150000000;71100;Admission;;22.11.2023 10:44
01.12.2023;31.10.2025;CH1290870950;2.125;Sandoz Group AG;17.11.2026;DN;BBB;400000000;71100;Admission;;22.11.2023 10:44
01.12.2023;30.08.2030;CH1290870968;2.6;Sandoz Group AG;17.11.2031;DN;BBB;350000000;71100;Admission;;22.11.2023 10:44
01.12.2023;30.04.2040;CH1290222525;1.7;Emissionszentrale für gemeinnützige Wohnbauträger;29.04.2041;DN;AAA;105700000;57100;Admission;;22.11.2023 10:44
01.12.2023;30.11.2026;CH1300277832;1.625;Nestlé AG;20.11.2027;DN;AA;155000000;71100;Admission;;22.11.2023 10:44
01.12.2023;29.11.2030;CH1300277840;1.875;Nestlé AG;20.11.2031;DN;AA;215000000;71100;Admission;;22.11.2023 10:44
01.12.2023;30.11.2035;CH1300277857;2;Nestle AG;20.11.2036;DN;AA;210000000;71100;Admission;;22.11.2023 10:44
01.12.2023;31.10.2025;CH1300277865;2.3;Bell Food Group AG;15.10.2026;DN;BBB;110000000;71100;Admission;;22.11.2023 10:44
01.12.2023;31.10.2030;CH1300277873;2.65;Bell Food Group AG;15.10.2031;DN;BBB;160000000;71100;Admission;;22.11.2023 10:44
01.12.2023;30.11.2026;CH1290222533;2.2;AMAG Leasing AG;22.11.2027;DN;AAA;175000000;61100;Admission;;22.11.2023 10:44
01.12.2023;30.11.2029;CH1290222541;2.4;AMAG Leasing AG;22.11.2030;DN;AAA;135000000;61100;Admission;;22.11.2023 10:44
01.12.2023;31.10.2025;CH1290222467;2.25;Viseca Payment Services AG;27.10.2026;DN;A;250000000;71100;Admission;;22.11.2023 10:44
01.12.2023;30.10.2026;CH1290222558;2;SGS AG;17.11.2027;DN;A;240000000;71100;Admission;;22.11.2023 10:44
01.12.2023;30.08.2030;CH1290222566;2.3;SGS AG;17.11.2031;DN;A;260000000;71100;Admission;;22.11.2023 10:44
01.12.2023;31.05.2027;CH1300277881;2.25;Lonza Swiss Finanz AG;16.05.2028;DN;BBB;185000000;71100;Admission;;22.11.2023 10:44
01.12.2023;31.05.2030;CH1300277899;2.6;Lonza Swiss Finanz AG;16.05.2031;DN;BBB;215000000;71100;Admission;;22.11.2023 10:44
01.12.2023;30.11.2029;CH1306117040;2.5;Liechtensteinische Landesbank AG;22.11.2030;DN;A;150000000;71100;Admission;;22.11.2023 10:44
01.12.2023;31.05.2030;CH1305916731;2.375;Givaudan SA;23.05.2031;DN;BBB;250000000;71100;Admission;;22.11.2023 10:44
01.12.2023;30.11.2026;CH1300277733;2.25;Berlin Hyp AG;08.11.2027;FC;A;100000000;71100;Admission;;22.11.2023 10:44
01.12.2023;29.11.2024;CH1271360641;2.0275;Korea Railroad Corp;14.11.2025;FC;AA;250000000;71100;Admission;;22.11.2023 10:44
01.12.2023;30.11.2027;CH1300277766;2.0175;The Export-Import Bank of Korea;14.11.2028;FG;AA;200000000;57100;Admission;;22.11.2023 10:44
01.12.2023;30.11.2028;CH1305916749;1.56;Auckland Council;30.11.2029;FG;AA;115000000;59100;Admission;;22.11.2023 10:44
01.12.2023;31.12.2031;CH0255678341;1.375;Pfandbriefbank schweizerischer  Hypothekarinstitute;10.12.2032;DN;AAA;813000000;62100;Capital increase;438000000;22.11.2023 10:44
01.12.2023;30.06.2033;CH0440081393;0;Schweizerische Eidgenossenschaft;26.06.2034;DG;AAA;2946634000;51100;Capital increase;354950000;22.11.2023 10:44
01.12.2023;30.07.2038;CH0440081401;0;Schweizerische Eidgenossenschaft;24.07.2039;DG;AAA;3153930000;51100;Capital increase;621680000;22.11.2023 10:44
01.12.2023;31.03.2028;CH1164800661;0.45;Engadiner Kraftwerke AG;02.03.2029;DN;A;100000000;71100;Rating change;;22.11.2023 10:44
