Admission Date;Cancellation Date;ISIN;Coupon;Name;Maturity Date;Sector;Composite Rating;Issue Amount in CHF;Guarantee Type & Collateral;Comment;Capital increase/decrease;Updated on
01.11.2023;28.04.2028;CH1290222400;2.5385;Cembra Money Bank AG;05.04.2029;DN;A;215000000;71100;Admission;;30.10.2023 15:08
01.11.2023;31.10.2040;CH1290222418;1.75;Stadt Zürich;23.10.2041;DN;AAA;300000000;59100;Admission;;30.10.2023 15:08
01.11.2023;30.07.2027;CH1290222426;2.85;TEMENOS AG;11.10.2028;DN;BBB;200000000;71100;Admission;;30.10.2023 15:08
01.11.2023;29.11.2024;CH0508785745;1.5;TEMENOS AG;28.11.2025;DN;BBB;220000000;71100;Admission;;30.10.2023 15:08
01.11.2023;30.07.2032;CH1290222442;1.8;Pfandbriefzentrale der schweizerischen Kantonalbanken;22.07.2033;DN;AAA;296000000;62100;Admission;;30.10.2023 15:08
01.11.2023;30.10.2037;CH1290222459;1.85;Pfandbriefzentrale der schweizerischen Kantonalbanken;25.10.2038;DN;AAA;187000000;62100;Admission;;30.10.2023 15:08
01.11.2023;31.10.2029;CH1265890660;1.45;Kanton Bern;31.10.2030;DN;AA;200000000;59100;Admission;;30.10.2023 15:08
01.11.2023;31.10.2025;CH1300277717;1.82;UBS Switzerland AG;18.10.2026;DN;AAA;350000000;62100;Admission;;30.10.2023 15:08
01.11.2023;29.10.2032;CH1300277725;2.035;UBS Switzerland AG;18.10.2033;DN;AAA;470000000;62100;Admission;;30.10.2023 15:08
01.11.2023;29.10.2032;CH1290222509;1.7;Kanton Tessin;31.10.2033;DN;AA;250000000;59100;Admission;;30.10.2023 15:08
01.11.2023;29.10.2027;CH1294486332;2.6025;Landesbank Baden-Wuerttemberg;04.10.2028;FC;A;150000000;59100;Admission;;30.10.2023 15:08
01.11.2023;29.10.2027;CH1294486357;2.3625;Credit Agricole SA;05.10.2028;FC;AA;160000000;71100;Admission;;30.10.2023 15:08
01.11.2023;29.10.2027;CH1294486365;3.61;DZ BANK AG Deutsche Zentral-Genossenschaftsbank;16.10.2028;FC;A;100000000;71200;Admission;;30.10.2023 15:08
01.11.2023;31.10.2025;CH1296276137;1.81;Danske Bank A/S;05.10.2026;FC;AAA;140000000;62100;Admission;;30.10.2023 15:08
01.11.2023;31.10.2029;CH1296276145;1.865;Danske Bank A/S;04.10.2030;FC;AAA;120000000;62100;Admission;;30.10.2023 15:08
01.11.2023;31.10.2025;CH1296276152;2.47;ACHMEA BANK N.V.;16.10.2026;FC;A;100000000;71100;Admission;;30.10.2023 15:08
01.11.2023;31.10.2029;CH1296276160;2.7475;ACHMEA BANK N.V.;16.10.2030;FC;A;100000000;71100;Admission;;30.10.2023 15:08
01.11.2023;30.07.2027;CH1298665980;2.96;Fresenius SE & Co.KGaA;18.10.2028;FC;BBB;275000000;71100;Admission;;30.10.2023 15:08
01.11.2023;29.10.2027;CH1290975932;1.8675;SpareBank 1 Boligkreditt AS;23.10.2028;FC;AAA;160000000;62100;Admission;;30.10.2023 15:08
01.11.2023;31.10.2025;CH1300224875;1.96;Mercedes-Benz International Finance B. V.;12.10.2026;FC;A;235000000;71100;Admission;;30.10.2023 15:08
01.11.2023;31.10.2028;CH1300224883;2.1075;Mercedes-Benz International Finance B. V.;12.10.2029;FC;A;190000000;71100;Admission;;30.10.2023 15:08
01.11.2023;31.10.2028;CH1298957064;2.6825;Societe Generale;19.10.2029;FC;A;215000000;71100;Admission;;30.10.2023 15:08
01.11.2023;31.10.2028;CH1300948796;2.5525;Corporacion Andina de Fomento;25.10.2029;FS;AA;110000000;55100;Admission;;30.10.2023 15:08
01.11.2023;31.10.2028;CH1300950016;2.12;Toyota Motor Finance (Netherlands) B.V.;26.10.2029;FC;A;150000000;71100;Admission;;30.10.2023 15:08
01.11.2023;31.10.2025;CH1300950008;2.01;Toyota Motor Finance (Netherlands) B.V.;26.10.2026;FC;A;300000000;71100;Admission;;30.10.2023 15:08
01.11.2023;29.02.2024;CH0020498645;2.75;Zürich, Stadt Zürich;14.02.2025;DN;AAA;500000000;59100;Rating change;;30.10.2023 15:08
01.11.2023;30.03.2035;CH0024484187;2.55;Stadt Zürich;10.03.2036;DN;AAA;450000000;59100;Rating change;;30.10.2023 15:08
01.11.2023;30.03.2035;CH0024524966;2.5;Schweizerische Eidgenossenschaft;08.03.2036;DG;AAA;4571740000;51100;Capital increase;265850000;30.10.2023 15:08
01.11.2023;30.12.2039;CH0120847899;2.125;St.Galler Kantonalbank AG;27.12.2040;DN;AAA;150000000;59100;Rating change;;30.10.2023 15:08
01.11.2023;30.06.2037;CH0129766215;2.625;Stadt Zürich;10.06.2038;DN;AAA;190000000;59100;Rating change;;30.10.2023 15:08
01.11.2023;30.04.2031;CH0181377042;1.5;Stadt Zürich;12.04.2032;DN;AAA;250000000;59100;Rating change;;30.10.2023 15:08
01.11.2023;31.07.2037;CH0217825337;2;Kanton St. Gallen;16.07.2038;DN;AAA;150000000;59100;Rating change;;30.10.2023 15:08
01.11.2023;30.07.2027;CH0217825311;1.75;Kanton St. Gallen;18.07.2028;DN;AAA;250000000;59100;Rating change;;30.10.2023 15:08
01.11.2023;30.09.2032;CH0222000413;2.125;Stadt Zürich;26.09.2033;DN;AAA;150000000;59100;Rating change;;30.10.2023 15:08
01.11.2023;31.12.2042;CH0228531460;2;Stadt Zürich;18.12.2043;DN;AAA;150000000;59100;Rating change;;30.10.2023 15:08
01.11.2023;31.03.2028;CH0236516834;1.75;Stadt Zürich;06.03.2029;DN;AAA;100000000;59100;Rating change;;30.10.2023 15:08
01.11.2023;31.03.2026;CH0253612581;1;Stadt Zürich;30.03.2027;DN;AAA;150000000;59100;Rating change;;30.10.2023 15:08
