Admission Date;Cancellation Date;ISIN;Coupon;Name;Maturity Date;Sector;Composite Rating;Issue Amount in CHF;Guarantee Type & Collateral;Comment;Capital increase/decrease;Updated on
05.01.2026;30.12.2039;CH1498422810;0.8;Kanton Zürich;03.12.2040;DN;AAA;200000000;52515100;Admission;;2025-12-29 17:35:22
05.01.2026;31.12.2030;CH1498422802;0.35;Kanton Zürich;03.12.2031;DN;AAA;200000000;52515100;Admission;;2025-12-29 17:35:22
05.01.2026;30.12.2033;CH1489902499;0.75;Luzerner Kantonalbank AG;01.12.2034;DN;AA;175000000;52510100;Admission;;2025-12-29 17:35:22
05.01.2026;29.12.2034;CH1494626364;1.1475;Kraftwerke Linth-Limmern AG Linthal;05.12.2035;DN;BBB;100000000;75510100;Admission;;2025-12-29 17:35:22
05.01.2026;30.09.2031;CH1494626398;1.08;Galenica AG;09.12.2032;DN;BBB;250000000;73510100;Admission;;2025-12-29 17:35:22
05.01.2026;31.12.2029;CH1503892627;0.505;Glarner Kantonalbank;10.12.2030;DN;AA;115000000;52510100;Admission;;2025-12-29 17:35:22
05.01.2026;28.09.2029;CH1485827393;0.9425;Galderma Holding AG;10.12.2030;DN;BBB;175000000;73515100;Admission;;2025-12-29 17:35:22
05.01.2026;30.04.2037;CH1498422885;0.85;Pfandbriefzentrale der schweizerischen Kantonalbanken AG;15.04.2038;DN;AAA;241000000;61010100;Admission;;2025-12-29 17:35:22
05.01.2026;31.12.2032;CH1416797517;0.95;Berner Kantonalbank AG;15.12.2033;DN;A;180000000;74010100;Admission;;2025-12-29 17:35:22
05.01.2026;31.12.2031;CH1503816055;0.85;Banque Cantonale de Genève;15.12.2032;DN;AA;125000000;74010100;Admission;;2025-12-29 17:35:22
05.01.2026;30.04.2030;CH1499437213;0.5;Pfandbriefbank schweizerischer Hypothekarinstitute AG;18.04.2031;DN;AAA;345000000;61010100;Admission;;2025-12-29 17:35:22
05.01.2026;29.12.2028;CH1434204322;0.5;Basellandschaftliche Kantonalbank;17.12.2029;DN;AA;150000000;52510100;Admission;;2025-12-29 17:35:22
05.01.2026;30.11.2044;CH1434204330;1.15;Basellandschaftliche Kantonalbank;17.11.2045;DN;AA;100000000;52510100;Admission;;2025-12-29 17:35:22
05.01.2026;31.12.2029;CH1489902523;0.5;Luzerner Kantonalbank AG;19.12.2030;DN;AA;250000000;52510100;Admission;;2025-12-29 17:35:22
05.01.2026;31.10.2029;CH1487331980;1.35;Cham Swiss Properties AG;31.10.2030;DN;BBB;150000000;76015100;Admission;;2025-12-29 17:35:22
05.01.2026;31.12.2036;CH1472996946;0.71;International Development Association;01.12.2037;FS;AAA;120000000;51515100;Admission;;2025-12-29 17:35:22
05.01.2026;31.12.2030;CH1503892668;1.1825;Banco de Crédito e Inversiones;03.12.2031;FC;A;130000000;74010100;Admission;;2025-12-29 17:35:22
05.01.2026;29.12.2034;CH1503892684;0.8475;Akademiska Hus AB;12.12.2035;FG;AA;150000000;52015100;Admission;;2025-12-29 17:35:22
05.01.2026;31.12.2029;CH1485827401;0.9675;DekaBank Deutsche Girozentrale;16.12.2030;FC;A;100000000;74010100;Admission;;2025-12-29 17:35:22
05.01.2026;31.12.2030;CH1503892726;1.0075;Crédit Agricole S.A.;11.12.2031;FC;A;250000000;74010100;Admission;;2025-12-29 17:35:22
05.01.2026;30.06.2031;CH1503892759;0.615;Fédération des caisses Desjardins du Québec;17.06.2032;FC;AAA;335000000;61515100;Admission;;2025-12-29 17:35:22
05.01.2026;29.10.2038;CH0370943554;0.625;Pfandbriefbank schweizerischer Hypothekarinstitute;18.10.2039;DN;AAA;437000000;61010100;InitalLoad from 4D EBS;187000000;2025-12-29 17:35:22
05.01.2026;31.07.2028;CH0483180938;0.05;Banca dello Stato del  Cantone Ticino;10.07.2029;DN;AA;260000000;52510100;Capital increase;110000000;2025-12-29 17:35:22
05.01.2026;28.02.2029;CH1148266245;0.3;Walliser Kantonalbank;07.02.2030;DN;AA;250000000;52510100;Capital increase;110000000;2025-12-29 17:35:22
05.01.2026;31.07.2041;CH1189217842;1.9;Pfandbriefzentrale der schweizerischen Kantonalbanken;07.07.2042;DN;AAA;741000000;61010100;Capital increase;130000000;2025-12-29 17:35:22
05.01.2026;31.07.2029;CH1206367521;2.1;Pfandbriefzentrale der schweizerischen Kantonalbanken;19.07.2030;DN;AAA;683000000;61010100;Capital increase;412000000;2025-12-29 17:35:22
05.01.2026;30.09.2037;CH1239464634;2.125;Pfandbriefzentrale der schweizerischen Kantonalbanken;21.09.2038;DN;AAA;439000000;61010100;Capital increase;139000000;2025-12-29 17:35:22
05.01.2026;30.06.2042;CH0557778815;1.25;Schweizerische Eidgenossenschaft;28.06.2043;DG;AAA;2602765000;51010100;Capital increase;195250000;2025-12-29 17:35:22
05.01.2026;30.07.2032;CH1290222442;1.8;Pfandbriefzentrale der schweizerischen Kantonalbanken;22.07.2033;DN;AAA;326000000;61010100;Capital increase;30000000;2025-12-29 17:35:22
05.01.2026;29.05.2026;CH1325037047;1.9775;CA Auto Finance Suisse SA;14.05.2027;DN;A;125000000;74015100;Rating change;;2025-12-29 17:35:22
05.01.2026;28.02.2034;CH1446452265;0.8;Pfandbriefzentrale der schweizerischen Kantonalbanken AG;16.02.2035;DN;AAA;783000000;61010100;Capital increase;433000000;2025-12-29 17:35:22
05.01.2026;31.10.2033;CH1458320368;0.875;Pfandbriefbank schweizerischer Hypothekarinstitute AG;20.10.2034;DN;AAA;560000000;61010100;Capital increase;260000000;2025-12-29 17:35:22
05.01.2026;31.10.2029;CH1487331998;0.6;Nidwaldner Kantonalbank;28.10.2030;DN;AA;150000000;52510100;Capital increase;50000000;2025-12-29 17:35:22
05.01.2026;30.06.2031;CH0025826949;3.25;SNCF Réseau;30.06.2032;FC;A;250000000;52010100;Rating change;;2025-12-29 17:35:22
05.01.2026;30.11.2033;CH0119577721;2;SNCF Réseau;24.11.2034;FC;A;100000000;52010100;Rating change;;2025-12-29 17:35:22
05.01.2026;30.11.2026;CH0386949348;0.3;Caisse des Depots et Consignations;12.11.2027;FG;A;250000000;52015100;Rating change;;2025-12-29 17:35:22
05.01.2026;30.06.2027;CH0591979643;0;Caisse des Depots et Consignations;26.06.2028;FG;A;100000000;52015100;Rating change;;2025-12-29 17:35:22
05.01.2026;30.11.2028;CH1231312674;1.75;Caisse des Depots et Consignations;28.11.2029;FG;A;100000000;52015100;Rating change;;2025-12-29 17:35:22
05.01.2026;28.02.2030;CH1249151049;1.75;Caisse des Depots et Consignations;24.02.2031;FG;A;100000000;52015100;Rating change;;2025-12-29 17:35:22
05.01.2026;31.05.2038;CH1321508330;1.5;Caisse des Depots et Consignations;24.05.2039;FG;A;100000000;52015100;Rating change;;2025-12-29 17:35:22
05.01.2026;29.04.2033;CH1335850298;1.4778;Agence France Locale;20.04.2034;FG;A;110000000;52015100;Rating change;;2025-12-29 17:35:22
05.01.2026;28.09.2029;CH1360612472;0.9925;Caisse des Depots et Consignations;23.09.2030;FG;A;150000000;52015100;Rating change;;2025-12-29 17:35:22
05.01.2026;28.04.2034;CH1399999940;1.1623;Agence France Locale;20.04.2035;FG;A;100000000;52015100;Rating change;;2025-12-29 17:35:22
05.01.2026;28.02.2029;CH1414003520;0.81;Caisse des Depots et Consignations;27.02.2030;FG;A;200000000;52015100;Rating change;;2025-12-29 17:35:22
05.01.2026;30.05.2031;CH1433241135;0.93;Caisse des Depots et Consignations;07.05.2032;FG;A;110000000;52015100;Rating change;;2025-12-29 17:35:22
;30.12.2025;CH0128891105;2.75;Pfandbriefbank schweizerischer  Hypothekarinstitute;15.12.2026;DN;AAA;1010000000;61010100;Deletion;;2025-12-29 17:35:22
;30.12.2025;CH0228531437;2.375;Kraftwerke Linth-Limmern AG Linthal;10.12.2026;DN;BBB;175000000;75510100;Deletion;;2025-12-29 17:35:22
;30.12.2025;CH0357676169;0.375;Pfandbriefzentrale der schweizerischen Kantonalbanken;07.12.2026;DN;AAA;815000000;61010100;Deletion;;2025-12-29 17:35:22
;30.12.2025;CH0367206700;1;Galenica AG;15.12.2026;DN;BBB;180000000;73510100;Deletion;;2025-12-29 17:35:22
;30.12.2025;CH0389606085;0.6;Bühler Holding AG;21.12.2026;DN;BBB;240000000;72010100;Deletion;;2025-12-29 17:35:22
;30.12.2025;CH1101561525;0.25;Holcim Helvetia Finance Ltd;18.03.2027;DN;BBB;300000000;71510100;Deletion;;2025-12-29 17:35:22
;30.12.2025;CH1141700547;0.2;Union Bancaire Privée, UBP SA;15.12.2026;DN;A;335000000;74010100;Deletion;;2025-12-29 17:35:22
;30.12.2025;CH1228837873;3;Kanton Neuenburg;21.12.2026;DN;AA;137500000;52515100;Deletion;;2025-12-29 17:35:22
;30.12.2025;CH1305916830;1.8;PSP Swiss Property AG;11.12.2026;DN;A;150000000;76015100;Deletion;;2025-12-29 17:35:22
;30.12.2025;CH1373904262;0.8;Stadt Zürich;09.12.2026;DN;AAA;140000000;53015100;Deletion;;2025-12-29 17:35:22
;30.12.2025;CH1400950783;0.75;Aargauische Kantonalbank;18.12.2026;DN;AAA;245000000;52510100;Deletion;;2025-12-29 17:35:22
;30.12.2025;CH0323735677;0.55;Credit Agricole S.A., London Branch;14.12.2026;FC;A;100000000;74010100;Deletion;;2025-12-29 17:35:22
;30.12.2025;CH0568231861;1;Glencore Capital Finance DAC;30.03.2027;FC;BBB;225000000;71510100;Deletion;;2025-12-29 17:35:22
;30.12.2025;CH1120085696;0.385;Banco de Crédito e Inversiones;15.12.2026;FC;A;100000000;74010100;Deletion;;2025-12-29 17:35:22
