Admission Date;Cancellation Date;ISIN;Coupon;Name;Maturity Date;Sector;Composite Rating;Issue Amount in CHF;Guarantee Type & Collateral;Comment;Capital increase/decrease;Updated on
03.12.2018;31.10.2023;CH0398633567;0.125;Pfandbriefzentrale der schweizerischen Kantonalbanken;31.10.2024;DN;AAA;235000000;62100;Admission;;28.11.2018 11:07
03.12.2018;31.03.2028;CH0398633575;0.625;Pfandbriefzentrale der schweizerischen Kantonalbanken;08.03.2029;DN;AAA;164000000;62100;Admission;;28.11.2018 11:07
03.12.2018;30.11.2023;CH0443027047;0.15;Aargauische Kantonalbank;15.11.2024;DN;AA;185000000;59100;Admission;;28.11.2018 11:07
03.12.2018;30.11.2026;CH0444153792;0.5;Aargauische Kantonalbank;15.11.2027;DN;AA;215000000;59100;Admission;;28.11.2018 11:07
03.12.2018;28.11.2025;CH0398633591;0.4;Glarner Kantonalbank;30.11.2026;DN;AA;100000000;59100;Admission;;28.11.2018 11:07
03.12.2018;30.11.2020;CH0441004394;0.22;Swiss Car ABS 2018-2 AG;18.11.2021;DN;AAA;250000000;64100;Admission;;28.11.2018 11:07
03.12.2018;30.11.2032;CH0441004410;0.75;Kanton Neuenburg;28.11.2033;DN;A;100000000;59100;Admission;;28.11.2018 11:07
03.12.2018;28.11.2025;CH0443057515;0.5;Thurgauer Kantonalbank;30.11.2026;DN;AA;200000000;59100;Admission;;28.11.2018 11:07
03.12.2018;29.05.2026;CH0441186506;0.375;Pfandbriefbank schweizerischer Hypothekarinstitute;12.05.2027;DN;AAA;210000000;62100;Admission;;28.11.2018 11:07
03.12.2018;30.11.2022;CH0445625004;0;Kanton Basel-Stadt;28.11.2023;DN;AAA;250000000;59100;Admission;;28.11.2018 11:07
03.12.2018;28.11.2031;CH0398633641;0.75;Emissionszentrale für gemeinnützige Wohnbauträger;29.11.2032;DN;AAA;149400000;57100;Admission;;28.11.2018 11:07
03.12.2018;28.11.2025;CH0446595677;0.3;Kanton Genf;27.11.2026;DN;AA;200000000;59100;Admission;;28.11.2018 11:07
03.12.2018;28.11.2025;CH0441186456;1;Banque Fédérative du Crédit Mutuel;13.11.2026;FC;A;100000000;71100;Admission;;28.11.2018 11:07
03.12.2018;28.02.2023;CH0441004386;0.725;ADCB Finance (Cayman) Limited;15.02.2024;FC;A;100000000;71100;Admission;;28.11.2018 11:07
03.12.2018;29.11.2024;CH0441186480;0.25;Hypo Vorarlberg Bank AG;12.11.2025;FC;AAA;100000000;61100;Admission;;28.11.2018 11:07
03.12.2018;30.11.2022;CH0445088385;0.568;Banco de Chile;21.11.2023;FC;A;115000000;71100;Admission;;28.11.2018 11:07
03.12.2018;30.11.2021;CH0441004402;0.5;Achmea Bank N.V.;15.11.2022;FC;A;100000000;71100;Admission;;28.11.2018 11:07
03.12.2018;29.11.2024;CH0441186514;0.2;The Bank of Nova Scotia;19.11.2025;FC;AAA;250000000;62100;Admission;;28.11.2018 11:07
03.12.2018;30.11.2021;CH0446595602;0.25;Daimler International Finance B.V.;14.11.2022;FC;A;215000000;71100;Admission;;28.11.2018 11:07
03.12.2018;29.11.2024;CH0446595610;0.85;Daimler International Finance B.V.;14.11.2025;FC;A;185000000;71100;Admission;;28.11.2018 11:07
03.12.2018;30.11.2022;CH0446595636;0.125;DNB Bank ASA;30.11.2023;FC;AA;100000000;71100;Admission;;28.11.2018 11:07
03.12.2018;31.01.2019;CH0036702964;3.25;Kanton Basel-Stadt, Basel;31.01.2020;DN;AAA;400000000;59100;Rating change;;28.11.2018 11:07
