Admission Date;Cancellation Date;ISIN;Coupon;Name;Maturity Date;Sector;Composite Rating;Issue Amount in CHF;Guarantee Type & Collateral;Comment;Capital increase/decrease;Updated on
01.06.2022;29.02.2028;CH1179534933;1.05;Sonova Holding AG;19.02.2029;DN;A;200000000;71100;Admission;;25.05.2022 16:58
01.06.2022;28.02.2031;CH1179534941;1.4;Sonova Holding AG;19.02.2032;DN;A;250000000;71100;Admission;;25.05.2022 16:58
01.06.2022;31.05.2028;CH1170565761;1.55;Bell Food Group AG;16.05.2029;DN;BBB;300000000;71100;Admission;;25.05.2022 16:58
01.06.2022;31.07.2028;CH1179534966;1.7;Grande Dixence S.A.;12.07.2029;DN;BBB;170000000;71100;Admission;;25.05.2022 16:58
01.06.2022;29.11.2041;CH0522159000;1.625;Luzerner Kantonalbank AG;13.11.2042;DN;AA;160000000;59100;Admission;;25.05.2022 16:58
01.06.2022;30.04.2031;CH1179535013;1.375;Pfandbriefbank schweizerischer Hypothekarinstitute;09.04.2032;DN;AAA;500000000;62100;Admission;;25.05.2022 16:58
01.06.2022;29.05.2037;CH1179535021;1.625;Pfandbriefbank schweizerischer Hypothekarinstitute;03.05.2038;DN;AAA;250000000;62100;Admission;;25.05.2022 16:58
01.06.2022;30.05.2036;CH1182086848;1.65;Kantonsspital Aarau AG;22.05.2037;DN;AA;120000000;71100;Admission;;25.05.2022 16:58
01.06.2022;31.05.2041;CH0522159034;1.7;Basellandschaftliche Kantonalbank;13.05.2042;DN;AA;225000000;59100;Admission;;25.05.2022 16:58
01.06.2022;30.05.2031;CH0522159042;1.6;Basellandschaftliche Kantonalbank;13.05.2032;DN;AA;245000000;59100;Admission;;25.05.2022 16:58
01.06.2022;31.10.2025;CH1172972825;1.77;HIAG Immobilien Holding AG;30.10.2026;DN;BBB;150000000;71100;Admission;;25.05.2022 16:58
01.06.2022;31.05.2029;CH1189217719;1.3;Graubündner Kantonalbank;27.05.2030;DN;AA;125000000;59100;Admission;;25.05.2022 16:58
01.06.2022;31.05.2024;CH1184694755;1.625;Alpiq Holding AG;30.05.2025;DN;BBB;200000000;71100;Admission;;25.05.2022 16:58
01.06.2022;29.11.2024;CH1189217735;1.1833;Cembra Money Bank AG;27.11.2025;DN;A;250000000;71100;Admission;;25.05.2022 16:58
