Admission Date;Cancellation Date;ISIN;Coupon;Name;Maturity Date;Sector;Composite Rating;Issue Amount in CHF;Guarantee Type & Collateral;Comment;Capital increase/decrease;Updated on
01.02.2019;30.01.2026;CH0398633799;0.15;Zürcher Kantonalbank;25.01.2027;DN;AAA;130000000;59100;Admission;;30.01.2019 11:16
01.02.2019;30.01.2026;CH0419040727;0.2;Valiant Bank;29.01.2027;DN;AAA;303000000;62100;Admission;;30.01.2019 11:16
01.02.2019;29.01.2027;CH0457723549;0.35;St.Galler Kantonalbank AG;24.01.2028;DN;AA;275000000;59100;Admission;;30.01.2019 11:16
01.02.2019;29.11.2024;CH0458097976;0.5;Bâloise Holding AG;28.11.2025;DN;A;200000000;71100;Admission;;30.01.2019 11:16
01.02.2019;31.01.2033;CH0419040776;0.7;Stadt Bern;30.01.2034;DN;AA;170000000;59100;Admission;;30.01.2019 11:16
01.02.2019;31.07.2026;CH0419040792;0.75;Zürich Versicherungs-Gesellschaft, Zürich;22.10.2027;DN;A;200000000;71100;Admission;;30.01.2019 11:16
01.02.2019;31.01.2028;CH0419040800;0.41;Luzerner Kantonalbank AG;31.01.2029;DN;AA;100000000;59100;Admission;;30.01.2019 11:16
01.02.2019;31.01.2024;CH0457206750;0.45;ASB Finance Ltd;30.01.2025;FC;A;200000000;71100;Admission;;30.01.2019 11:16
01.02.2019;31.01.2028;CH0457206784;0.45;Credit Agricole Home Loan SFH;24.01.2029;FC;AAA;125000000;62100;Admission;;30.01.2019 11:16
01.02.2019;30.01.2026;CH0458097950;0.25;Westpac Banking Corporation;29.01.2027;FC;AAA;400000000;62100;Admission;;30.01.2019 11:16
01.02.2019;31.01.2024;CH0419040826;0.6;Canadian Imperial Bank of  Commerce;30.01.2025;FC;A;100000000;71100;Admission;;30.01.2019 11:16
01.02.2019;31.01.2033;CH0280569135;0.625;Pfandbriefbank schweizerischer  Hypothekarinstitute;25.01.2034;DN;AAA;728000000;62100;Capital increase;110000000;30.01.2019 11:16
01.02.2019;31.05.2029;CH0224397171;0.5;Schweizerische Eidgenossenschaft;27.05.2030;DG;AAA;2098497000;51100;Capital increase;141575000;30.01.2019 11:16
01.02.2019;30.06.2038;CH0364277415;0.625;Stadt Bern;13.06.2039;DN;AA;125000000;59100;Capital increase;25000000;30.01.2019 11:16
01.02.2019;30.06.2044;CH0344958498;0.5;Schweizerische Eidgenossenschaft;28.06.2045;DG;AAA;1113600000;51100;Capital increase;129650000;30.01.2019 11:16
01.02.2019;30.07.2027;CH0428194242;0.375;Pfandbriefbank schweizerischer Hypothekarinstitute;10.07.2028;DN;AAA;656000000;62100;Capital increase;305000000;30.01.2019 11:16
;31.01.2019;CH0036702964;3.25;Kanton Basel-Stadt, Basel;31.01.2020;DN;AAA;400000000;59100;Deletion;;30.01.2019 11:16
;31.01.2019;CH0204811076;1;Swissgrid AG;30.01.2020;DN;AA;350000000;71100;Deletion;;30.01.2019 11:16
;31.01.2019;CH0310175556;0;Pfandbriefbank schweizerischer  Hypothekarinstitute;09.01.2020;DN;AAA;110000000;62100;Deletion;;30.01.2019 11:16
;31.01.2019;CH0202406440;2.75;ICICI Bank Ltd, Dubai Branch;07.01.2020;FC;BBB;100000000;71100;Deletion;;30.01.2019 11:16
;31.01.2019;CH0266842696;0.375;Credit Agricole S.A., London Branch;27.01.2020;FC;A;130000000;71100;Deletion;;30.01.2019 11:16
;31.01.2019;CH0020372402;2.75;Oesterreichische Kontrollbank Aktiengesellschaft, Wien;28.01.2020;FG;AA;425000000;57100;Deletion;;30.01.2019 11:16
;31.01.2019;CH0110346225;2.125;European Investment Bank EIB;22.01.2020;FS;AAA;325000000;55100;Deletion;;30.01.2019 11:16
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
