Admission Date;Cancellation Date;ISIN;Coupon;Name;Maturity Date;Sector;Composite Rating;Issue Amount in CHF;Guarantee Type & Collateral;Comment;Capital increase/decrease;Updated on
02.08.2018;31.07.2025;CH0373476974;1.25;See-Spital;03.07.2026;DN;BBB;100000000;71100;Admission;;2018-07-30 15:17:31
02.08.2018;31.07.2019;CH0419042525;0.25;Sulzer AG;06.07.2020;DN;BBB;110000000;71100;Admission;;2018-07-30 15:17:31
02.08.2018;29.07.2022;CH0419042533;1.3;Sulzer AG;06.07.2023;DN;BBB;290000000;71100;Admission;;2018-07-30 15:17:31
02.08.2018;31.07.2023;CH0398633252;1;Swiss Prime Site AG;16.07.2024;DN;BBB;115000000;71100;Admission;;2018-07-30 15:17:31
02.08.2018;29.11.2024;CH0423233516;0.25;Pfandbriefbank schweizerischer Hypothekarinstitute;17.11.2025;DN;AAA;255000000;62100;Admission;;2018-07-30 15:17:31
02.08.2018;31.01.2028;CH0423233524;0.5;Pfandbriefbank schweizerischer Hypothekarinstitute;22.01.2029;DN;AAA;194000000;62100;Admission;;2018-07-30 15:17:31
02.08.2018;30.07.2027;CH0425766521;1.125;Sika AG;12.07.2028;DN;A;130000000;71100;Admission;;2018-07-30 15:17:31
02.08.2018;31.07.2023;CH0425766513;0.625;Sika AG;12.07.2024;DN;A;250000000;71100;Admission;;2018-07-30 15:17:31
02.08.2018;31.07.2020;CH0423563557;0.125;Sika AG;12.07.2021;DN;A;170000000;71100;Admission;;2018-07-30 15:17:31
02.08.2018;31.03.2023;CH0398633237;1.5;Sunrise Communications AG;27.06.2024;DN;BBB;200000000;71100;Admission;;2018-07-30 15:17:31
02.08.2018;30.04.2024;CH0398633278;0.125;Pfandbriefzentrale der schweizerischen Kantonalbanken;16.04.2025;DN;AAA;314000000;62100;Admission;;2018-07-30 15:17:31
02.08.2018;28.06.2019;CH0414510047;0;Schindler Holding AG;05.06.2020;DN;A;100000000;71100;Admission;;2018-07-30 15:17:31
02.08.2018;30.06.2022;CH0414510054;0.25;Schindler Holding AG;05.06.2023;DN;A;400000000;71100;Admission;;2018-07-30 15:17:31
02.08.2018;31.07.2023;CH0421460400;0.3825;The Export-Import Bank of Korea;11.07.2024;FG;AA;300000000;57100;Admission;;2018-07-30 15:17:31
02.08.2018;31.07.2024;CH0423279303;1.1;Commerzbank Aktiengesellschaft, Frankfurt;11.07.2025;FC;BBB;100000000;71100;Admission;;2018-07-30 15:17:31
02.08.2018;30.04.2025;CH0423233540;0.3;North American Development Bank;24.07.2026;FS;AA;125000000;55100;Admission;;2018-07-30 15:17:31
02.08.2018;29.07.2022;CH0423563532;0.1;Royal Bank of Canada;18.07.2023;FC;AA;350000000;71100;Admission;;2018-07-30 15:17:31
02.08.2018;30.07.2027;CH0423233557;0.5;Deutsche Bahn Finance GmbH, Berlin;18.07.2028;FC;AA;400000000;71100;Admission;;2018-07-30 15:17:31
02.08.2018;31.07.2025;CH0425766539;0.288;Total Capital International SA;13.07.2026;FC;A;200000000;71100;Admission;;2018-07-30 15:17:31
02.08.2018;29.07.2022;CH0426621683;1.125;Barclays Plc;12.07.2023;FC;BBB;175000000;71100;Admission;;2018-07-30 15:17:31
02.08.2018;30.12.2022;CH0423233565;0.3;Jackson National Life Global Funding;18.12.2023;FC;A;200000000;71100;Admission;;2018-07-30 15:17:31
02.08.2018;31.10.2019;CH0117683794;2.875;Bâloise Holding AG;14.10.2020;DN;A;300000000;71100;Rating change;;2018-07-30 15:17:31
02.08.2018;31.12.2027;CH0119858659;2;Kanton Aargau;15.12.2028;DN;AA;200000000;59100;Rating change;;2018-07-30 15:17:31
02.08.2018;31.07.2020;CH0131804616;3;Bâloise Holding AG;07.07.2021;DN;A;250000000;71100;Rating change;;2018-07-30 15:17:31
02.08.2018;30.05.2036;CH0184636915;1.6;Aargauische Kantonalbank;18.05.2037;DN;AA;200000000;59100;Rating change;;2018-07-30 15:17:31
02.08.2018;29.10.2021;CH0194695083;2;Bâloise Holding AG;12.10.2022;DN;A;150000000;71100;Rating change;;2018-07-30 15:17:31
02.08.2018;29.04.2022;CH0200044821;1.75;Bâloise Holding AG;26.04.2023;DN;A;225000000;71100;Rating change;;2018-07-30 15:17:31
02.08.2018;30.06.2022;CH0245146185;1;Aargauische Kantonalbank;19.06.2023;DN;AA;200000000;59100;Rating change;;2018-07-30 15:17:31
02.08.2018;29.12.2023;CH0261399064;1.125;Bâloise Holding AG;19.12.2024;DN;A;150000000;71100;Rating change;;2018-07-30 15:17:31
02.08.2018;31.01.2029;CH0262085076;0.875;Aargauische Kantonalbank;23.01.2030;DN;AA;250000000;59100;Rating change;;2018-07-30 15:17:31
02.08.2018;31.05.2024;CH0270190983;0.25;Novartis AG;13.05.2025;DN;A;500000000;71100;Rating change;;2018-07-30 15:17:31
02.08.2018;31.05.2034;CH0270191007;1.05;Novartis AG;11.05.2035;DN;A;325000000;71100;Rating change;;2018-07-30 15:17:31
