Admission Date;Cancellation Date;ISIN;Coupon;Name;Maturity Date;Sector;Composite Rating;Issue Amount in CHF;Guarantee Type & Collateral;Comment;Capital increase/decrease;Updated on
02.05.2019;30.04.2026;CH0419040990;1.25;Swiss Prime Site AG;02.04.2027;DN;BBB;250000000;71100;Admission;;29.04.2019 10:00
02.05.2019;30.04.2026;CH0419041006;0.15;Basler Kantonalbank;02.04.2027;DN;AA;225000000;59100;Admission;;29.04.2019 10:00
02.05.2019;31.07.2023;CH0419041055;0.1;Geberit AG;17.10.2024;DN;A;125000000;71100;Admission;;29.04.2019 10:00
02.05.2019;30.07.2027;CH0419041063;0.6;Geberit AG;17.10.2028;DN;A;125000000;71100;Admission;;29.04.2019 10:00
02.05.2019;28.04.2028;CH0469273509;0;Kanton Tessin;18.04.2029;DN;AA;150000000;59100;Admission;;29.04.2019 10:00
02.05.2019;29.04.2033;CH0419041089;1.03;Stadt Biel;12.04.2034;DN;A;100000000;59100;Admission;;29.04.2019 10:00
02.05.2019;30.04.2026;CH0419041071;0.625;Stadt Biel;12.04.2027;DN;A;100000000;59100;Admission;;29.04.2019 10:00
02.05.2019;30.04.2026;CH0419041139;0.375;Bank Cler AG;26.04.2027;DN;A;130000000;71100;Admission;;29.04.2019 10:00
02.05.2019;30.04.2025;CH0419041097;0.125;Banque cantonale de Genève;23.04.2026;DN;A;120000000;71100;Admission;;29.04.2019 10:00
02.05.2019;31.07.2023;CH0471297918;0;Pfandbriefbank schweizerischer Hypothekarinstitute;29.07.2024;DN;AAA;210000000;62100;Admission;;29.04.2019 10:00
02.05.2019;30.04.2029;CH0471297926;0.25;Pfandbriefbank schweizerischer Hypothekarinstitute;15.04.2030;DN;AAA;433000000;62100;Admission;;29.04.2019 10:00
02.05.2019;30.04.2025;CH0469273541;1.125;Clariant AG;15.04.2026;DN;BBB;200000000;71100;Admission;;29.04.2019 10:00
02.05.2019;31.10.2023;CH0465044680;0.401;First Abu Dhabi Bank P.J.S.C;02.10.2024;FC;AA;200000000;71100;Admission;;29.04.2019 10:00
02.05.2019;30.12.2020;CH0465044698;1;Tanner Servicios Financieros S.A.;03.12.2021;FC;BBB;125000000;71100;Admission;;29.04.2019 10:00
02.05.2019;29.10.2021;CH0467182397;1.55;Banco Mercantil del Norte S.A, Cayman Islands Branch;11.10.2022;FC;A;240000000;71100;Admission;;29.04.2019 10:00
02.05.2019;30.04.2025;CH0467182405;0.75;Citigroup Inc.;02.04.2026;FC;BBB;300000000;71100;Admission;;29.04.2019 10:00
02.05.2019;31.07.2024;CH0467182421;0.25;Banque Fédérative du Crédit Mutuel;10.07.2025;FC;A;200000000;71100;Admission;;29.04.2019 10:00
02.05.2019;31.07.2024;CH0467182439;0.0219;Industrial Bank of Korea;16.07.2025;FG;AA;250000000;57100;Admission;;29.04.2019 10:00
02.05.2019;31.10.2023;CH0467182454;1.0183;mBank S.A.;04.10.2024;FC;BBB;125000000;71100;Admission;;29.04.2019 10:00
02.05.2019;29.07.2022;CH0472691408;0.8;AMP Group Finance Services Ltd;18.07.2023;FC;A;140000000;71100;Admission;;29.04.2019 10:00
02.05.2019;31.10.2028;CH0472691416;0.25;Credit Agricole Home Loan SFH;24.10.2029;FC;AAA;125000000;62100;Admission;;29.04.2019 10:00
02.05.2019;30.10.2026;CH0471297959;0.25;New York Life Funding;18.10.2027;FC;AA;650000000;65100;Admission;;29.04.2019 10:00
02.05.2019;30.06.2022;CH0212184078;1.875;Swiss Life Holding AG;21.06.2023;DN;A;200000000;71100;Rating change;;29.04.2019 10:00
02.05.2019;30.06.2045;CH0336352767;0.375;Pfandbriefbank schweizerischer  Hypothekarinstitute;15.06.2046;DN;AAA;361000000;62100;Capital increase;61000000;29.04.2019 10:00
02.05.2019;29.05.2054;CH0344958472;0.5;Schweizerische Eidgenossenschaft;24.05.2055;DG;AAA;1301520000;51100;Capital increase;118350000;29.04.2019 10:00
02.05.2019;30.06.2031;CH0344958688;0.5;Schweizerische Eidgenossenschaft;27.06.2032;DG;AAA;964350000;51100;Capital increase;125850000;29.04.2019 10:00
02.05.2019;30.04.2024;CH0398633278;0.125;Pfandbriefzentrale der schweizerischen Kantonalbanken;16.04.2025;DN;AAA;433000000;62100;Capital increase;119000000;29.04.2019 10:00
02.05.2019;27.02.2026;CH0398633807;0.7;PSP Swiss Property AG;08.02.2027;DN;A;180000000;71100;Capital increase;80000000;29.04.2019 10:00
02.05.2019;31.01.2030;CH0419040842;0.55;Pfandbriefzentrale der schweizerischen Kantonalbanken;29.01.2031;DN;AAA;451000000;62100;Capital increase;351000000;29.04.2019 10:00
02.05.2019;31.03.2038;CH0419040958;0.7;Pfandbriefzentrale der schweizerischen Kantonalbanken;04.03.2039;DN;AAA;314000000;62100;Capital increase;181000000;29.04.2019 10:00
02.05.2019;31.03.2027;CH0465044649;0.1;Stadt Winterthur;20.03.2028;DN;AA;100000000;59100;Capital decrease;-20000000;29.04.2019 10:00
02.05.2019;31.08.2022;CH0463112083;0.25;Swiss Life Holding AG;11.10.2023;DN;A;250000000;71100;Rating change;;29.04.2019 10:00
02.05.2019;31.07.2024;CH0021894602;2.5;BNG Bank N.V.;21.07.2025;FG;AAA;682500000;57100;Rating change;;29.04.2019 10:00
02.05.2019;31.10.2019;CH0022721762;2.25;BNG Bank N.V.;14.10.2020;FG;AAA;980500000;57100;Rating change;;29.04.2019 10:00
02.05.2019;30.06.2036;CH0031409177;3.25;N.V. Bank Nederlandse Gemeenten;29.06.2037;FG;AAA;100000000;57100;Rating change;;29.04.2019 10:00
02.05.2019;30.04.2029;CH0111826514;2.75;BNG Bank N.V.;12.04.2030;FG;AAA;100000000;57100;Rating change;;29.04.2019 10:00
02.05.2019;30.11.2028;CH0118668257;2.125;BNG Bank N.V;09.11.2029;FG;AAA;100000000;57100;Rating change;;29.04.2019 10:00
02.05.2019;30.11.2029;CH0118848982;2;BNG Bank N.V.;04.11.2030;FG;AAA;100000000;57100;Rating change;;29.04.2019 10:00
02.05.2019;28.02.2020;CH0124071959;2.25;BNG Bank N.V.;23.02.2021;FG;AAA;255000000;57100;Rating change;;29.04.2019 10:00
02.05.2019;30.09.2021;CH0193069835;1.125;BNG Bank N.V;13.09.2022;FG;AAA;125000000;57100;Rating change;;29.04.2019 10:00
02.05.2019;29.04.2022;CH0207550010;1.125;BNG Bank N.V.;19.04.2023;FG;AAA;125000000;57100;Rating change;;29.04.2019 10:00
02.05.2019;28.04.2023;CH0241528741;1.25;BNG Bank N.V;30.04.2024;FG;AAA;360000000;57100;Rating change;;29.04.2019 10:00
;30.04.2019;CH0021247967;2.75;Emissionszentrale für gemeinnützige Wohnbauträger EGW, Olten;30.04.2020;DN;AAA;154400000;57100;Deletion;;29.04.2019 10:00
;30.04.2019;CH0100524187;2.625;Kanton Bern;24.04.2020;DN;AA;225000000;59100;Deletion;;29.04.2019 10:00
