Admission Date;Cancellation Date;ISIN;Coupon;Name;Maturity Date;Sector;Composite Rating;Issue Amount in CHF;Guarantee Type & Collateral;Comment;Capital increase/decrease;Updated on
01.10.2018;30.09.2026;CH0398633336;0.35;Walliser Kantonalbank;07.09.2027;DN;AA;150000000;59100;Admission;;26.09.2018 13:28
01.10.2018;30.09.2027;CH0398633344;0.625;Luzerner Kantonsspital;25.09.2028;DN;AA;150000000;71100;Admission;;26.09.2018 13:28
01.10.2018;31.01.2042;CH0428194259;1;Pfandbriefbank schweizerischer Hypothekarinstitute;23.01.2043;DN;AAA;265000000;62100;Admission;;26.09.2018 13:28
01.10.2018;30.07.2027;CH0428194242;0.375;Pfandbriefbank schweizerischer Hypothekarinstitute;10.07.2028;DN;AAA;351000000;62100;Admission;;26.09.2018 13:28
01.10.2018;30.09.2025;CH0398633369;0.35;Banque Cantonale Neuchteloise;14.09.2026;DN;A;160000000;59100;Admission;;26.09.2018 13:28
01.10.2018;30.09.2021;CH0428194275;0.75;Vifor Pharma AG;13.09.2022;DN;BBB;465000000;71100;Admission;;26.09.2018 13:28
01.10.2018;29.12.2023;CH0433761274;1;LafargeHolcim Ltd;11.12.2024;DN;BBB;440000000;71100;Admission;;26.09.2018 13:28
01.10.2018;30.09.2025;CH0398633377;0.375;Limeco;25.09.2026;DN;AA;120000000;71100;Admission;;26.09.2018 13:28
01.10.2018;30.09.2024;CH0394905712;0;Kanton Basel-Stadt;24.09.2025;DN;AA;230885000;59100;Admission;;26.09.2018 13:28
01.10.2018;30.09.2025;CH0428194283;0.875;Adecco Group AG;18.09.2026;DN;BBB;100000000;71100;Admission;;26.09.2018 13:28
01.10.2018;30.09.2024;CH0433761308;0.25;Roche Kapitalmarkt AG;24.09.2025;DN;AA;500000000;71100;Admission;;26.09.2018 13:28
01.10.2018;28.09.2029;CH0433761316;0.75;Roche Kapitalmarkt AG;24.09.2030;DN;AA;400000000;71100;Admission;;26.09.2018 13:28
01.10.2018;30.09.2027;CH0398633443;0.55;Universitätsspital Zürich;28.09.2028;DN;AA;120000000;71100;Admission;;26.09.2018 13:28
01.10.2018;29.09.2023;CH0434678352;1.125;Bobst Group SA;27.09.2024;DN;BBB;135000000;71100;Admission;;26.09.2018 13:28
01.10.2018;29.03.2024;CH0429659607;1;Lloyds Banking Group PLC;04.03.2025;FC;BBB;415000000;71100;Admission;;26.09.2018 13:28
01.10.2018;30.09.2022;CH0429659615;0.4075;KEB Hana Bank;14.09.2023;FC;A;100000000;71100;Admission;;26.09.2018 13:28
01.10.2018;29.12.2023;CH0428194200;1;Banco Santander S.A.;10.12.2024;FC;BBB;150000000;71100;Admission;;26.09.2018 13:28
01.10.2018;30.09.2022;CH0429659623;0.15;Korea Water Resources Corporation;20.09.2023;FC;AA;200000000;71100;Admission;;26.09.2018 13:28
01.10.2018;31.07.2019;CH0287282476;2.5;Arcelor;03.07.2020;FC;BBB;225000000;71100;Admission;;26.09.2018 13:28
01.10.2018;30.09.2022;CH0433761282;0.3225;First Abu Dhabi Bank P.J.S.C;27.09.2023;FC;AA;200000000;71100;Admission;;26.09.2018 13:28
01.10.2018;30.12.2022;CH0428194291;0.441;Banco Santander-Chile;21.12.2023;FC;A;115000000;71100;Admission;;26.09.2018 13:28
01.10.2018;30.11.2018;CH0103165020;3;Alpiq Holding AG;25.11.2019;DN;BBB;148870000;71100;Capital decrease;-135000000;26.09.2018 13:28
01.10.2018;30.09.2020;CH0136940282;2.25;Alpiq Holding AG;20.09.2021;DN;BBB;143675000;71100;Capital decrease;-35360000;26.09.2018 13:28
01.10.2018;31.12.2020;CH0142981940;2.125;Givaudan SA;07.12.2021;DN;BBB;150000000;71100;Rating change;;26.09.2018 13:28
01.10.2018;31.05.2021;CH0184183322;3;Alpiq Holding AG;16.05.2022;DN;BBB;144690000;71100;Capital decrease;-55310000;26.09.2018 13:28
01.10.2018;30.06.2025;CH0235475354;1.625;Pfandbriefzentrale der schweizerischen Kantonalbanken;17.06.2026;DN;AAA;523000000;62100;Capital increase;117000000;26.09.2018 13:28
01.10.2018;30.09.2019;CH0237552085;1;Givaudan SA;18.09.2020;DN;BBB;100000000;71100;Rating change;;26.09.2018 13:28
01.10.2018;31.03.2023;CH0237552101;1.75;Givaudan SA;19.03.2024;DN;BBB;150000000;71100;Rating change;;26.09.2018 13:28
01.10.2018;31.07.2023;CH0248890490;2.625;Alpiq Holding AG;29.07.2024;DN;BBB;260000000;71100;Capital decrease;-40000000;26.09.2018 13:28
01.10.2018;30.06.2022;CH0285509334;2.125;Alpiq Holding AG;30.06.2023;DN;BBB;140695000;71100;Capital decrease;-34305000;26.09.2018 13:28
01.10.2018;26.02.2027;CH0307256427;0.25;Pfandbriefzentrale der schweizerischen Kantonalbanken;11.02.2028;DN;AAA;773000000;62100;Capital increase;81000000;26.09.2018 13:28
01.10.2018;31.12.2020;CH0312512699;0;Pfandbriefzentrale der schweizerischen Kantonalbanken;15.12.2021;DN;AAA;450000000;62100;Capital increase;114000000;26.09.2018 13:28
01.10.2018;28.06.2030;CH0319403785;0.3;Pfandbriefzentrale der schweizerischen Kantonalbanken;06.06.2031;DN;AAA;936000000;62100;Capital increase;106000000;26.09.2018 13:28
01.10.2018;31.12.2021;CH0343366776;0;Givaudan SA;07.12.2022;DN;BBB;100000000;71100;Rating change;;26.09.2018 13:28
01.10.2018;31.12.2030;CH0343366784;0.625;Givaudan SA;05.12.2031;DN;BBB;200000000;71100;Rating change;;26.09.2018 13:28
01.10.2018;30.06.2044;CH0344958498;0.5;Schweizerische Eidgenossenschaft;28.06.2045;DG;AAA;983950000;51100;Capital increase;201150000;26.09.2018 13:28
01.10.2018;28.04.2023;CH0406415247;0.125;Pfandbriefbank schweizerischer Hypothekarinstitute;26.04.2024;DN;AAA;675000000;62100;Capital increase;100000000;26.09.2018 13:28
01.10.2018;30.04.2024;CH0407809760;0.375;Givaudan SA;09.04.2025;DN;BBB;200000000;71100;Rating change;;26.09.2018 13:28
01.10.2018;31.07.2023;CH0398633252;1;Swiss Prime Site AG;16.07.2024;DN;BBB;190000000;71100;Capital increase;75000000;26.09.2018 13:28
01.10.2018;31.07.2019;CH0021803942;2.375;Europäische Investitionsbank, Luxemburg;10.07.2020;FS;AAA;1187500000;55100;Capital decrease;-25000000;26.09.2018 13:28
;28.09.2018;CH0033470748;3.25;Pfandbriefzentrale der schweizerischen Kantonalbanken;10.09.2019;DN;AAA;520000000;62100;Deletion;;26.09.2018 13:28
;28.09.2018;CH0124138816;2;Pfandbriefbank schweizerischer  Hypothekarinstitute;27.09.2019;DN;AAA;220000000;62100;Deletion;;26.09.2018 13:28
