Admission Date;Cancellation Date;ISIN;Coupon;Name;Maturity Date;Sector;Composite Rating;Issue Amount in CHF;Guarantee Type & Collateral;Comment;Capital increase/decrease;Updated on
02.03.2020;28.02.2030;CH0461239045;0.05;Zürcher Kantonalbank;05.02.2031;DN;AAA;330000000;59100;Admission;;26.02.2020 15:13
02.03.2020;29.02.2028;CH0461239060;0.15;PSP Swiss Property AG;02.02.2029;DN;A;150000000;71100;Admission;;26.02.2020 15:13
02.03.2020;28.02.2029;CH0506071106;0.01;Aargauische Kantonalbank;18.02.2030;DN;AA;250000000;59100;Admission;;26.02.2020 15:13
02.03.2020;28.02.2029;CH0506071114;0;Freiburger Kantonalbank;26.02.2030;DN;AA;200000000;59100;Admission;;26.02.2020 15:13
02.03.2020;31.10.2029;CH0520663599;0;Credit Suisse (Switzerland) Ltd.;31.10.2030;DN;AAA;310000000;62100;Admission;;26.02.2020 15:13
02.03.2020;31.07.2024;CH0520663581;0;Credit Suisse (Switzerland) Ltd.;31.07.2025;DN;AAA;350000000;62100;Admission;;26.02.2020 15:13
02.03.2020;28.02.2023;CH0519465170;0.125;AMAG Leasing AG;12.02.2024;DN;BBB;100000000;71100;Admission;;26.02.2020 15:13
02.03.2020;28.02.2031;CH0520663607;0;Transports publics genevois;24.02.2032;DN;AA;100000000;57100;Admission;;26.02.2020 15:13
02.03.2020;28.02.2025;CH0520042513;0.5;Bobst Group SA;17.02.2026;DN;BBB;200000000;71100;Admission;;26.02.2020 15:13
02.03.2020;31.08.2027;CH0506071130;0;Luzerner Kantonalbank AG;07.08.2028;DN;AA;275000000;59100;Admission;;26.02.2020 15:13
02.03.2020;29.02.2028;CH0521617297;0;Walliser Kantonalbank;14.02.2029;DN;AA;160000000;59100;Admission;;26.02.2020 15:13
02.03.2020;30.04.2030;CH0506071163;0;Pfandbriefzentrale der schweizerischen Kantonalbanken;02.04.2031;DN;AAA;146000000;62100;Admission;;26.02.2020 15:13
02.03.2020;31.01.2039;CH0506071171;0.02;Pfandbriefzentrale der schweizerischen Kantonalbanken;30.01.2040;DN;AAA;190000000;62100;Admission;;26.02.2020 15:13
02.03.2020;29.02.2028;CH0520663631;0;First Swiss Mobility 2020-1 AG;15.02.2023;DN;AAA;183000000;64100;Admission;;26.02.2020 15:13
02.03.2020;28.02.2034;CH0520663672;0.2;Flughafen Zürich AG;26.02.2035;DN;AA;400000000;71100;Admission;;26.02.2020 15:13
02.03.2020;31.05.2044;CH0525158413;0;Pfandbriefbank schweizerischer Hypothekarinstitute;10.05.2045;DN;AAA;150000000;62100;Admission;;26.02.2020 15:13
02.03.2020;26.02.2027;CH0525158397;0;Pfandbriefbank schweizerischer Hypothekarinstitute;25.02.2028;DN;AAA;525000000;62100;Admission;;26.02.2020 15:13
02.03.2020;30.05.2031;CH0525158371;0.1;Zürich Versicherungs-Gesellschaft, Zürich;27.08.2032;DN;A;250000000;71100;Admission;;26.02.2020 15:13
