Admission Date;Cancellation Date;ISIN;Coupon;Name;Maturity Date;Sector;Composite Rating;Issue Amount in CHF;Guarantee Type & Collateral;Comment;Capital increase/decrease;Updated on
02.04.2024;30.03.2029;CH1319968447;1.2;Kanton Zürich;07.03.2030;DN;AAA;300000000;59100;Admission;;27.03.2024 11:06
02.04.2024;31.03.2077;CH1326849630;1.5775;Stadt Lausanne;01.03.2078;DN;AA;100000000;59100;Admission;;27.03.2024 11:06
02.04.2024;31.03.2033;CH1319968462;1.415;Stadt Lugano;07.03.2034;DN;AA;100000000;59100;Admission;;27.03.2024 11:06
02.04.2024;31.03.2031;CH1325807837;2.1;Grande Dixence S.A.;08.03.2032;DN;BBB;130000000;71100;Admission;;27.03.2024 11:06
02.04.2024;30.03.2029;CH1319968496;1.8;Swiss Prime Site Finance AG;01.03.2030;DN;A;250000000;71100;Admission;;27.03.2024 11:06
02.04.2024;31.03.2043;CH1274703144;1.6;Luzerner Kantonalbank AG;08.03.2044;DN;AA;160000000;59100;Admission;;27.03.2024 11:06
02.04.2024;31.03.2026;CH1331113444;1.25;Stadt St. Gallen;08.03.2027;DN;A;100000000;59100;Admission;;27.03.2024 11:06
02.04.2024;29.03.2030;CH1331440235;1.45;Schwyzer Kantonalbank;14.03.2031;DN;AA;100000000;59100;Admission;;27.03.2024 11:06
02.04.2024;29.06.2035;CH1319968538;1.5;Pfandbriefzentrale der schweizerischen Kantonalbanken;23.06.2036;DN;AAA;330000000;62100;Admission;;27.03.2024 11:06
02.04.2024;28.11.2031;CH1319968520;1.45;Pfandbriefzentrale der schweizerischen Kantonalbanken;03.11.2032;DN;AAA;381000000;62100;Admission;;27.03.2024 11:06
02.04.2024;29.03.2030;CH1331113519;2.75;Clariant AG;28.03.2031;DN;BBB;150000000;71100;Admission;;27.03.2024 11:06
02.04.2024;31.03.2026;CH1331113501;2.375;Clariant AG;30.03.2027;DN;BBB;200000000;71100;Admission;;27.03.2024 11:06
02.04.2024;31.03.2031;CH1319968561;2.125;Zürcher Kantonalbank;22.03.2033;DN;AA;200000000;71100;Admission;;27.03.2024 11:06
02.04.2024;31.03.2028;CH1319968553;2;Zürcher Kantonalbank;22.03.2030;DN;AA;100000000;71100;Admission;;27.03.2024 11:06
02.04.2024;31.03.2044;CH1310346312;1.35;Stadt Zürich;24.03.2045;DN;AAA;200000000;59100;Admission;;27.03.2024 11:06
02.04.2024;31.03.2032;CH1310346304;1.25;Stadt Zürich;25.03.2033;DN;AAA;200000000;59100;Admission;;27.03.2024 11:06
02.04.2024;31.05.2029;CH1310346262;1.25;Pfandbriefbank schweizerischer Hypothekarinstitute;28.05.2030;DN;AAA;295000000;62100;Admission;;27.03.2024 11:06
02.04.2024;31.03.2026;CH1291601933;1.4625;Crédit Agricole next bank (Suisse) SA;25.03.2027;DN;AAA;100000000;62100;Admission;;27.03.2024 11:06
02.04.2024;31.03.2032;CH1291601941;1.52;Crédit Agricole next bank (Suisse) SA;25.03.2033;DN;AAA;100000000;62100;Admission;;27.03.2024 11:06
02.04.2024;29.03.2030;CH1271360617;1.2125;European Bank for Reconstruction and Development;04.03.2031;FS;AAA;180000000;55100;Admission;;27.03.2024 11:06
