Admission Date;Cancellation Date;ISIN;Coupon;Name;Maturity Date;Sector;Composite Rating;Issue Amount in CHF;Guarantee Type & Collateral;Comment;Capital increase/decrease;Updated on
01.06.2021;31.03.2026;CH1101096613;0.25;Mobimo Holding AG;19.03.2027;DN;BBB;200000000;71100;Admission;;2021-05-31 15:03:35
01.06.2021;31.08.2027;CH1105672690;0.3;Grande Dixence S.A.;31.08.2028;DN;BBB;150000000;71100;Admission;;2021-05-31 15:03:35
01.06.2021;30.11.2032;CH1101096621;0;Kanton Zürich;10.11.2033;DN;AAA;450000000;59100;Admission;;2021-05-31 15:03:35
01.06.2021;31.05.2035;CH0522158861;0.4;Banque Cantonale Vaudoise;05.05.2036;DN;AA;150000000;71100;Admission;;2021-05-31 15:03:35
01.06.2021;31.05.2030;CH1101096647;0.1;Graubündner Kantonalbank;07.05.2031;DN;AA;300000000;59100;Admission;;2021-05-31 15:03:35
01.06.2021;30.05.2025;CH1105672708;0.375;EFIAG - Emissions- und Finanz AG;06.05.2026;DN;BBB;100000000;71100;Admission;;2021-05-31 15:03:35
01.06.2021;28.06.2030;CH1105672724;0.125;Pfandbriefbank schweizerischer Hypothekarinstitute;20.06.2031;DN;AAA;305000000;62100;Admission;;2021-05-31 15:03:35
01.06.2021;29.12.2034;CH1105672732;0.25;Pfandbriefbank schweizerischer Hypothekarinstitute;21.12.2035;DN;AAA;256000000;62100;Admission;;2021-05-31 15:03:35
01.06.2021;31.01.2041;CH1105672740;0.375;Pfandbriefbank schweizerischer Hypothekarinstitute;24.01.2042;DN;AAA;100000000;62100;Admission;;2021-05-31 15:03:35
01.06.2021;31.05.2032;CH1111392853;0;Kanton Bern;18.05.2033;DN;AA;150000000;59100;Admission;;2021-05-31 15:03:35
01.06.2021;31.05.2030;CH1112246744;0.875;Luzerner Kantonalbank AG;14.05.2031;DN;A;400000000;71200;Admission;;2021-05-31 15:03:35
01.06.2021;30.04.2030;CH1111392861;0.1;Walliser Kantonalbank;18.04.2031;DN;AA;200000000;59100;Admission;;2021-05-31 15:03:35
01.06.2021;30.05.2031;CH1113135151;0.125;Thurgauer Kantonalbank;21.05.2032;DN;AA;250000000;59100;Admission;;2021-05-31 15:03:35
01.06.2021;31.05.2030;CH1112940601;0.05;Nidwaldner Kantonalbank;27.05.2031;DN;AA;100000000;59100;Admission;;2021-05-31 15:03:35
01.06.2021;31.05.2027;CH1111392887;0.25;Clientis AG;19.05.2028;DN;A;150000000;71100;Admission;;2021-05-31 15:03:35
01.06.2021;31.05.2032;CH1112455766;0.25;Swisscom AG;18.05.2033;DN;A;100000000;71100;Admission;;2021-05-31 15:03:35
01.06.2021;31.05.2030;CH1113755461;0.05;Zuger Kantonalbank AG;26.05.2031;DN;AAA;150000000;59100;Admission;;2021-05-31 15:03:35
